stock_code,trade_date,ma5,ma10,ma20,ma60,vol_ma5,kd_k,kd_d,macd_dif,macd_macd,macd_osc,rsi6,rsi12,bb_upper,bb_mid,bb_lower,bias20,ma_alignment
2330,2026-07-27,2383.0,2385.5,2415.75,2349.4166666666665,23377826.0,40.95862701404065,42.95089128200709,-1.9121960446568664,10.261785933705077,-12.173981978361944,40.26689844713919,45.10505825952292,2522.7804924579164,2415.75,2308.7195075420836,-2.7217220324950846,交叉混雜
00929,2026-07-27,28.658000183105468,28.92700023651123,29.77650032043457,,24132355.2,33.81928999035652,33.004889542511435,-0.4542893321930599,-0.29163094304709525,-0.16265838914596464,34.31152143604302,51.912498197118936,31.928877675802717,29.77650032043457,27.624122965066427,-5.495947855440423,
9921,2026-07-27,85.67999877929688,84.81999969482422,80.40999908447266,74.70499992370605,2436465.2,61.7001807075414,65.68815463300973,3.2454575503863055,2.7375886346730502,0.5078689157132552,55.12267445028894,59.34534677795466,90.72909837843213,80.40999908447266,70.09089979051319,5.708246446695558,多排
2425,2026-07-27,45.01999969482422,43.98999938964844,42.922499656677246,38.03583316802978,6765472.6,66.57002715922808,56.169399423830484,1.7759315551109722,1.5690189169663986,0.2069126381445736,64.80750463401293,62.31821885145405,47.35615926386079,42.922499656677246,38.4888400494937,6.703942229365624,多排
2615,2026-07-27,85.07999877929687,82.71999893188476,81.13999977111817,80.67166659037272,16186534.8,66.92279586776239,66.79692374815667,1.1682219516015664,0.5567600721854433,0.6114618794161231,53.037534211456766,54.817701311198014,86.49886747166853,81.13999977111817,75.7811320705678,3.0317953043408337,多排
3685,2026-07-27,38.15999984741211,38.29499969482422,34.14499979019165,30.77666654586792,1768261.0,73.36247807500548,76.49553706884669,2.4381439672046312,2.0456816799973625,0.3924622872072687,55.50022399008803,60.41677311960172,43.15428721064033,34.14499979019165,25.13571236974297,11.582951261477364,交叉混雜
5388,2026-07-27,88.35999755859375,86.95999908447266,84.72999954223633,83.91999969482421,4788065.2,66.6238452897919,57.801538124472316,1.5739319720054539,0.8433122968571376,0.7306196751483163,75.38876451236911,66.2818236991578,91.33369676209529,84.72999954223633,78.12630232237737,8.226127043151282,多排
2905,2026-07-27,15.970000076293946,15.685000038146972,15.40750002861023,14.505000003178914,1350789.8,78.7512590046145,73.96079596072315,0.3350379808497017,0.2910723035388655,0.043965677310836226,73.33494065081211,69.59970449785418,16.227175893601242,15.40750002861023,14.587824163619217,4.494566617384983,多排
2006,2026-07-27,71.7,71.30999984741212,70.18499984741212,68.22833315531413,2436332.0,74.71077756834248,67.57718121246832,0.9004949491326641,0.7524883004555643,0.1480066486770999,72.88336635150176,66.28199326049469,73.16583335530889,70.18499984741212,67.20416633951534,3.8683503374929478,多排
2886,2026-07-27,48.62000045776367,47.85,47.127499961853026,43.54583352406819,25321904.6,85.64617784402054,80.88468938799119,1.2094767581287442,1.1350451652168447,0.07443159291189949,82.06118534384231,75.79073969513213,49.32234483688657,47.127499961853026,44.93265508681948,5.458598065182149,多排
6243,2026-07-27,50.5,48.175,43.91749992370605,37.789166609446205,6869633.6,73.52441693533693,73.33790412790297,3.6997841311914215,2.9811767846893695,0.7186073465020519,64.26073288433273,63.67447763921706,54.47412795573554,43.91749992370605,33.36087189167657,17.720728303644886,多排
1808,2026-07-27,32.08999938964844,31.844999694824217,31.062499809265137,30.314166641235353,692083.8,76.91186484063485,75.35848778009277,0.4449760744736899,0.3271546396866994,0.11782143478699053,63.10347477654044,59.56416991388946,32.95371862975944,31.062499809265137,29.17128098877083,3.3400359637072654,多排
4749,2026-07-27,796.4,814.3,851.95,963.05,503712.8,17.253723906757507,24.912092811397233,-42.46601288806119,-38.02871885923126,-4.437294028829925,20.10158643412167,28.844320999478654,947.5400787628951,851.95,756.359921237105,-10.323375784963911,空排
6015,2026-07-27,16.280000305175783,16.554999923706056,17.094999885559083,17.40666659673055,1059080.2,15.846348475575498,21.15924222271445,-0.46708945766512144,-0.3304882044011055,-0.13660125326401595,29.26288973986817,36.439085110437794,18.48553147430591,17.094999885559083,15.704468296812257,-7.2828283850476305,空排
3376,2026-07-27,187.9,190.45,193.475,203.28333333333333,1684853.2,16.71817848788379,23.14799165191857,-4.610161376924168,-3.953139105963464,-0.6570222709607041,24.83907333969306,34.33779346695239,204.47009460001132,193.475,182.47990539998867,-6.18943015893526,空排
4722,2026-07-27,211.2,229.05,247.35,253.6,844436.8,9.459759462646703,14.817863590754126,-14.87132119554991,-8.220486745575842,-6.650834449974068,20.24502285858746,30.797664352728006,301.6174662642075,247.35,193.08253373579248,-19.345057610673134,空排
4755,2026-07-27,119.6,124.9,129.725,138.69166666666666,458961.4,9.349075964212549,16.192411424351494,-5.844002615616432,-4.222383059296446,-1.6216195563199864,22.83475845805971,31.6444680462279,145.71010820140214,129.725,113.73989179859787,-13.278088263634608,空排
2233,2026-07-27,209.2,215.95,232.475,282.8,493568.0,19.06422168280848,22.541973981037994,-18.470740921202236,-17.134229853417715,-1.336511067784521,29.864274504036317,34.82922195906616,277.2651246164615,232.475,187.68487538353847,-13.754167114743518,空排
4927,2026-07-27,35.04000015258789,36.59499969482422,40.29999980926514,48.37666657765706,2109297.4,15.1516341979654,19.03027668477914,-3.7915473107648836,-3.4125479408012485,-0.37899936996363515,18.749705803739232,24.00690015293037,49.62811259856694,40.29999980926514,30.971887019963333,-16.99751632443145,空排
3339,2026-07-27,34.93000030517578,35.45500030517578,37.81750011444092,45.20916665395101,430496.6,27.525856633344958,29.199068815549303,-2.7261887043411903,-2.723168539225384,-0.0030201651158061615,33.70212942789691,34.4818300504415,43.94339650693358,37.81750011444092,31.691603721948255,-8.772394009127282,空排
4772,2026-07-27,239.4,247.6,260.95,282.3833333333333,392125.8,19.82690588660626,21.769560931468416,-11.6792901224444,-9.27251009253329,-2.4067800299111095,26.701902630443954,30.057824016898294,294.4130982930185,260.95,227.48690170698148,-9.561218624257517,空排
3583,2026-07-27,743.6,763.1,804.0,837.6,803136.8,22.94654750840058,28.549036067782097,-28.782205328271175,-20.024930969441137,-8.757274358830038,36.440721889050344,39.3645674206294,925.331212628472,804.0,682.668787371528,-9.577114427860696,空排
6244,2026-07-27,25.14000015258789,25.61500015258789,26.29000005722046,28.115833377838136,3219272.6,16.321418442528394,24.45004105410019,-0.9143532395390395,-0.7239352678410209,-0.19041797169801855,21.770029045172976,30.896290005506913,28.39603148187316,26.29000005722046,24.183968632567762,-11.56333225790745,空排
4919,2026-07-27,137.8,145.0,156.925,173.10833333333332,4555405.2,18.338670201530547,23.315955315386567,-11.155506121762215,-8.394113926077418,-2.761392195684797,22.367137772541128,31.943367390575602,188.882661135683,156.925,124.96733886431701,-18.11374860602199,空排
0050,2026-07-27,102.5,102.89500045776367,105.0675006866455,102.46416676839193,84761226.0,38.79290502731302,40.22327336241727,-0.6865463952277793,-0.01958514277747768,-0.6669612524503016,34.09696265618899,40.19740942406655,111.02111830231561,105.0675006866455,99.11388307097539,-4.29961463379692,交叉混雜
0051,2026-07-27,138.34000244140626,138.79000091552734,142.5525016784668,140.0608337402344,52388.0,41.9435590817407,41.83449815855876,-1.5338215673336038,-0.5858230612923813,-0.9479985060412225,33.10542181208366,39.03063243452163,152.17224578265407,142.5525016784668,132.93275757427952,-5.298049202603111,交叉混雜
0052,2026-07-27,60.00999984741211,60.11500015258789,61.527499961853025,60.11499989827474,20932969.8,42.204727274136054,42.26462179123526,-0.467240669049815,-0.07901421495368852,-0.38822645409612644,35.14323072408581,40.50352519486944,65.42817113050587,61.527499961853025,57.626828793200175,-4.514241540083818,交叉混雜
0053,2026-07-27,230.5800018310547,230.82500152587892,236.8275001525879,233.95249989827474,26360.6,45.69718117152684,44.43617110074864,-2.507008011382254,-1.1424975241577153,-1.3645104872245388,35.204408256039486,40.45985814529811,253.47857554409853,236.8275001525879,220.17642476107727,-4.973027664963676,交叉混雜
0055,2026-07-27,42.57599868774414,42.2799991607666,42.22699966430664,38.91383330027262,218801.6,73.30167242576894,59.25947280086585,0.6278151842668009,0.7530190655330734,-0.12520388126627247,67.09592415905338,62.596459041944506,43.25695273147892,42.22699966430664,41.19704659713436,2.067394834476903,多排
0056,2026-07-27,50.162000274658205,50.89100036621094,51.790500259399415,49.80100002288818,43854301.8,29.653636451775476,33.918765679266116,-0.2783404626967183,0.13884061443766396,-0.41718107713438224,30.71573572961522,38.68406235567861,54.34150815526276,51.790500259399415,49.23949236353607,-4.499862259013029,交叉混雜
