stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
2353,2026-08-17,-13548255,0,549335,-975975,-13974895
00923,2026-08-17,78468,0,0,-19843405,-19764937
00919,2026-08-17,-13820116,0,0,-6147326,-19967442
2337,2026-08-17,-16511519,0,-9252000,-116398,-25879917
00984D,2026-08-17,140000,0,0,-27922209,-27782209
00632R,2026-08-17,-1363000,0,0,-27621554,-28984554
00929,2026-08-17,-1007235,0,0,-39316869,-40324104
00891,2026-08-17,-1982700,0,0,-38908883,-40891583
00961,2026-08-17,-334000,0,0,-68936832,-69270832
6770,2026-08-17,-68115695,0,-90000,-2663331,-70869026
00881,2026-08-17,-222882,0,0,-105890126,-106113008
00878,2026-08-17,-13837502,0,0,-117459790,-131297292
