stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
00403A,2026-08-28,146021213,0,0,206803263,352824476
00981A,2026-08-28,88578120,0,480000,32710977,121769097
2303,2026-08-28,88988696,0,-436141,2724319,91276874
00407A,2026-08-28,10791000,0,0,65789859,76580859
00631L,2026-08-28,1578514,0,0,42036366,43614880
00685L,2026-08-28,9740000,0,0,33802063,43542063
2892,2026-08-28,43364720,0,-927055,10822,42448487
00405A,2026-08-28,6375164,0,0,34035735,40410899
2886,2026-08-28,42353340,0,-2885169,-204965,39263206
0050,2026-08-28,41108708,0,0,-3994360,37114348
00991A,2026-08-28,19654641,0,0,10855761,30510402
3481,2026-08-28,23715394,0,188000,4454483,28357877
00400A,2026-08-28,16607000,0,0,7860551,24467551
009816,2026-08-28,15997592,0,1500000,6198113,23695705
1303,2026-08-28,15678983,0,8561096,-971734,23268345
00992A,2026-08-28,16652830,0,0,5494431,22147261
00878,2026-08-28,11532249,0,0,5271599,16803848
2409,2026-08-28,14811460,0,-23000,1492554,16281014
2449,2026-08-28,11540547,0,1019790,1448074,14008411
1802,2026-08-28,11554188,0,0,1782792,13336980
00982A,2026-08-28,4632000,0,0,7115591,11747591
00999A,2026-08-28,4463000,0,0,7098680,11561680
2834,2026-08-28,11459380,0,0,3000,11462380
2880,2026-08-28,14103214,0,-1992605,-668286,11442323
00671R,2026-08-28,-12000,0,0,11427606,11415606
2883,2026-08-28,9558028,0,-42890,183704,9698842
6239,2026-08-28,8790054,0,-4000,746188,9532242
2481,2026-08-28,9150422,0,265000,59544,9474966
0056,2026-08-28,2600001,0,0,6537358,9137359
3049,2026-08-28,7896811,0,0,87367,7984178
1312,2026-08-28,7504823,0,0,-622093,6882730
0052,2026-08-28,5609911,0,-30000,1195603,6775514
3576,2026-08-28,6022211,0,0,5000,6027211
00940,2026-08-28,1733171,0,0,4285390,6018561
009820,2026-08-28,15000,0,0,5931556,5946556
1709,2026-08-28,5778128,0,0,151202,5929330
2882,2026-08-28,4385710,0,1188250,184840,5758800
009821,2026-08-28,522000,0,0,4797742,5319742
2301,2026-08-28,4122033,0,778641,281702,5182376
00881,2026-08-28,5663054,0,0,-670899,4992155
1717,2026-08-28,2353676,0,2200000,235537,4789213
1301,2026-08-28,5288516,0,0,-509861,4778655
1101,2026-08-28,4732631,0,-26000,-121000,4585631
00891,2026-08-28,2096877,0,0,1977862,4074739
6257,2026-08-28,3905291,0,-1012000,847629,3740920
00927,2026-08-28,3487100,0,0,247185,3734285
00993A,2026-08-28,1384000,0,0,2287657,3671657
3406,2026-08-28,1669366,0,1343000,241233,3253599
3037,2026-08-28,3673341,0,-13242,-518749,3141350
3450,2026-08-28,2563735,0,357000,172952,3093687
8150,2026-08-28,2933137,0,0,155117,3088254
1727,2026-08-28,2942134,0,0,60394,3002528
5880,2026-08-28,2968418,0,-1969,-4000,2962449
