stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
2887I,2026-09-07,-2038000,0,0,0,-2038000
3033,2026-09-07,-2003760,0,0,-54632,-2058392
2851,2026-09-07,-2069741,0,0,-4411,-2074152
6669,2026-09-07,-1105688,0,-748621,-227114,-2081423
8996,2026-09-07,-889710,0,-1139000,-61276,-2089986
3019,2026-09-07,-2050116,0,0,-58557,-2108673
2421,2026-09-07,-2228553,0,9000,104599,-2114954
2618,2026-09-07,-3882705,0,1951638,-207496,-2138563
3022,2026-09-07,-2114779,0,0,-25259,-2140038
1314,2026-09-07,-2318362,0,0,55000,-2263362
6271,2026-09-07,-2194308,0,0,-116909,-2311217
009803,2026-09-07,-165000,0,0,-2186694,-2351694
2882,2026-09-07,-2282868,0,-14380,-58620,-2355868
9904,2026-09-07,-3043640,0,356000,280527,-2407113
6213,2026-09-07,-2514270,0,26000,28561,-2459709
3706,2026-09-07,-3550003,0,879000,205391,-2465612
00409A,2026-09-07,4823000,0,0,-7303841,-2480841
00830,2026-09-07,-474382,0,0,-2026896,-2501278
2890,2026-09-07,-3805852,0,1124793,138776,-2542283
1714,2026-09-07,-2549990,0,0,-66782,-2616772
3189,2026-09-07,-2890685,0,116315,-55900,-2830270
2352,2026-09-07,-3027979,0,63000,-30042,-2995021
00410A,2026-09-07,-2419000,0,0,-612202,-3031202
2103,2026-09-07,-3220100,0,0,158816,-3061284
2515,2026-09-07,-3221615,0,-6000,5979,-3221636
2317,2026-09-07,-2609789,0,39195,-727708,-3298302
00882,2026-09-07,-247989,0,0,-3114458,-3362447
3090,2026-09-07,-3396275,0,-11000,2515,-3404760
00646,2026-09-07,11799,0,0,-3479042,-3467243
2464,2026-09-07,-3790164,0,64000,217450,-3508714
2388,2026-09-07,-3429942,0,0,-101698,-3531640
009827,2026-09-07,-10000,0,0,-3674654,-3684654
4938,2026-09-07,-6319662,0,2684000,-117534,-3753196
00965,2026-09-07,-777400,0,0,-3511145,-4288545
2812,2026-09-07,-4522000,0,-11000,140345,-4392655
1402,2026-09-07,-1781120,0,-2890374,142629,-4528865
1605,2026-09-07,-4620755,0,21666,53239,-4545850
2312,2026-09-07,-4528136,0,20000,-255539,-4763675
2481,2026-09-07,-6994150,0,1940000,122861,-4931289
00896,2026-09-07,-301000,0,0,-4661691,-4962691
00753L,2026-09-07,-1058000,0,0,-3965267,-5023267
2891,2026-09-07,-9028350,0,3535551,385673,-5107126
00637L,2026-09-07,-954000,0,0,-4448380,-5402380
00984D,2026-09-07,-720000,0,0,-4750820,-5470820
00676R,2026-09-07,12000,0,0,-5556075,-5544075
2801,2026-09-07,-10130267,0,4234000,306378,-5589889
2377,2026-09-07,-5731696,0,425000,-375103,-5681799
00953B,2026-09-07,-1749001,0,0,-3952152,-5701153
009826,2026-09-07,-252741,0,0,-5728023,-5980764
1312,2026-09-07,-6299701,0,0,-24810,-6324511
00686R,2026-09-07,0,0,0,-6926639,-6926639
00945B,2026-09-07,-8000,0,0,-6948340,-6956340
2887,2026-09-07,-23784110,0,15310022,1284963,-7189125
3231,2026-09-07,-10618915,0,2948657,220180,-7450078
00962,2026-09-07,-111580,0,0,-7674487,-7786067
00665L,2026-09-07,-2267000,0,0,-5586680,-7853680
1101,2026-09-07,-8736816,0,31000,151904,-8553912
1717,2026-09-07,-8480191,0,-5191,-166616,-8651998
2027,2026-09-07,-13276789,0,3092000,775939,-9408850
2301,2026-09-07,-9722056,0,112018,-464424,-10074462
00985B,2026-09-07,-443000,0,0,-9767309,-10210309
00664R,2026-09-07,19000,0,0,-10693987,-10674987
00929,2026-09-07,-3287750,0,1000000,-8870770,-11158520
2356,2026-09-07,-11254244,0,-114288,-382523,-11751055
2426,2026-09-07,-12948884,0,0,210939,-12737945
