stock_code,stock_name,market,direction,close,score,today_pct,reason_codes,reasons
6155,鈞寶,TWSE,做空,55.5,6,-1.6,MA_BEARISH|BELOW_MA20|KD_DEAD_CROSS|MACD_HIST_REGROW_DOWN|BOUNCE_REJECTION,四線空排（5日均線55.7 < 10日56.41 < 20日56.47 < 60日61.82，向下排列）；股價跌破月線（收盤55.5 < 20日均線56.47）；KD死亡交叉且未過冷（K=34.65，D=35.33，K>20）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-0.81，柱狀體0.15→0.11）；彈後空下跌（反彈高點58.7未突破前段高點62.5的101%，收盤55.5 < 5日均線55.7）
6284,佳邦,TPEx,做空,75.1,6,-0.92,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION|RS_WEAK,四線空排（5日均線75.4 < 10日77 < 20日77.33 < 60日82.57，向下排列）；股價跌破月線（收盤75.1 < 20日均線77.33）；MACD空頭（DIF=-1.1 < MACD=-1，且DIF<0）；彈後空下跌（反彈高點80.8未突破前段高點82.6的101%，收盤75.1 < 5日均線75.4）；RS轉弱（相對大盤RS評分由30轉弱至29，落後大盤）
8422,可寧衛*,TWSE,做空,25.85,6,-0.58,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN|VOLUME_BREAKDOWN_BLACK|BOUNCE_REJECTION,四線空排（5日均線25.99 < 10日26.12 < 20日26.51 < 60日26.55，向下排列）；股價跌破月線（收盤25.85 < 20日均線26.51）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-0.18，柱狀體-0.08→-0.08）；放量黑K（今日量為5日均量的1.47倍，收盤25.85 < 開盤26）；彈後空下跌（反彈高點26.8未突破前段高點27.35的101%，收盤25.85 < 5日均線25.99）
5871,中租-KY,TWSE,做空,112.0,6,-0.44,MA_BEARISH|BELOW_MA20|KD_DEAD_CROSS|MACD_HIST_REGROW_DOWN|BOUNCE_REJECTION,四線空排（5日均線112.2 < 10日112.45 < 20日113.53 < 60日114.53，向下排列）；股價跌破月線（收盤112 < 20日均線113.53）；KD死亡交叉且未過冷（K=29.39，D=30.75，K>20）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-0.45，柱狀體-0.06→-0.07）；彈後空下跌（反彈高點115未突破前段高點117的101%，收盤112 < 5日均線112.2）
5289,宜鼎,TPEx,做空,1260.0,5,-2.7,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線1283 < 10日1319.5 < 20日1396.53 < 60日1436.59，向下排列）；股價跌破月線（收盤1260 < 20日均線1396.53）；MACD空頭（DIF=-51.86 < MACD=-37.67，且DIF<0）；彈後空下跌（反彈高點1445未突破前段高點1535的101%，收盤1260 < 5日均線1283）
3211,順達,TPEx,做空,360.5,5,-2.57,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN|BOUNCE_REJECTION,四線空排（5日均線363.2 < 10日370.25 < 20日371.55 < 60日379.25，向下排列）；股價跌破月線（收盤360.5 < 20日均線371.55）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-2.46，柱狀體-1.72→-1.95）；彈後空下跌（反彈高點389未突破前段高點414.5的101%，收盤360.5 < 5日均線363.2）
6449,鈺邦,TWSE,做空,211.5,5,-2.53,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN|BOUNCE_REJECTION,四線空排（5日均線213.9 < 10日221.55 < 20日222.78 < 60日252.98，向下排列）；股價跌破月線（收盤211.5 < 20日均線222.78）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-7.09，柱狀體0.08→-0.15）；彈後空下跌（反彈高點234.5未突破前段高點248的101%，收盤211.5 < 5日均線213.9）
3090,日電貿,TWSE,做空,160.0,5,-2.14,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN|BOUNCE_REJECTION,四線空排（5日均線161.8 < 10日166.15 < 20日167.12 < 60日194.4，向下排列）；股價跌破月線（收盤160 < 20日均線167.12）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-3.65，柱狀體0.15→-0.05）；彈後空下跌（反彈高點174未突破前段高點184的101%，收盤160 < 5日均線161.8）
4722,國精化,TWSE,做空,183.0,5,-2.14,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線185.8 < 10日190.15 < 20日198.28 < 60日219.16，向下排列）；股價跌破月線（收盤183 < 20日均線198.28）；MACD空頭（DIF=-7.5 < MACD=-6.52，且DIF<0）；彈後空下跌（反彈高點202未突破前段高點218.5的101%，收盤183 < 5日均線185.8）
3236,千如,TPEx,做空,42.75,5,-1.95,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN|BOUNCE_REJECTION,四線空排（5日均線42.96 < 10日43.79 < 20日43.91 < 60日48.51，向下排列）；股價跌破月線（收盤42.75 < 20日均線43.91）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-0.71，柱狀體0.05→0.02）；彈後空下跌（反彈高點45.65未突破前段高點47.9的101%，收盤42.75 < 5日均線42.96）
