stock_code,stock_name,market,direction,close,score,today_pct,reason_codes,reasons
5289,宜鼎,TPEx,做空,1265.0,5,-2.32,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線1284 < 10日1320 < 20日1396.78 < 60日1436.68，向下排列）；股價跌破月線（收盤1265 < 20日均線1396.78）；MACD空頭（DIF=-51.88 < MACD=-38.2，且DIF<0）；彈後空下跌（反彈高點1445未突破前段高點1535的101%，收盤1265 < 5日均線1284）
6449,鈺邦,TWSE,做空,212.0,5,-2.3,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN|BOUNCE_REJECTION,四線空排（5日均線214 < 10日221.6 < 20日222.8 < 60日252.99，向下排列）；股價跌破月線（收盤212 < 20日均線222.8）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-7.1，柱狀體0.1→-0.1）；彈後空下跌（反彈高點234.5未突破前段高點248的101%，收盤212 < 5日均線214）
2478,大毅,TWSE,做空,117.5,5,-2.08,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN|BOUNCE_REJECTION,四線空排（5日均線118.4 < 10日121.2 < 20日121.78 < 60日141.45，向下排列）；股價跌破月線（收盤117.5 < 20日均線121.78）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-3.19，柱狀體0.36→0.25）；彈後空下跌（反彈高點126未突破前段高點136的101%，收盤117.5 < 5日均線118.4）
2375,凱美,TWSE,做空,118.0,5,-2.07,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN|BOUNCE_REJECTION,四線空排（5日均線118.8 < 10日121.4 < 20日123.2 < 60日142.96，向下排列）；股價跌破月線（收盤118 < 20日均線123.2）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-3.63，柱狀體0.2→0.13）；彈後空下跌（反彈高點127.5未突破前段高點143的101%，收盤118 < 5日均線118.8）
3236,千如,TPEx,做空,42.85,5,-1.72,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN|BOUNCE_REJECTION,四線空排（5日均線42.98 < 10日43.8 < 20日43.91 < 60日48.51，向下排列）；股價跌破月線（收盤42.85 < 20日均線43.91）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-0.71，柱狀體0.06→0.03）；彈後空下跌（反彈高點45.65未突破前段高點47.9的101%，收盤42.85 < 5日均線42.98）
8043,蜜望實,TPEx,做空,130.0,5,-1.52,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線131.9 < 10日136.5 < 20日138.12 < 60日148.57，向下排列）；股價跌破月線（收盤130 < 20日均線138.12）；MACD空頭（DIF=-3.09 < MACD=-2.19，且DIF<0）；彈後空下跌（反彈高點146未突破前段高點156的101%，收盤130 < 5日均線131.9）
4722,國精化,TWSE,做空,184.5,5,-1.34,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線186.1 < 10日190.3 < 20日198.35 < 60日219.18，向下排列）；股價跌破月線（收盤184.5 < 20日均線198.35）；MACD空頭（DIF=-7.43 < MACD=-6.57，且DIF<0）；彈後空下跌（反彈高點202未突破前段高點218.5的101%，收盤184.5 < 5日均線186.1）
6155,鈞寶,TWSE,做空,55.7,5,-1.24,MA_BEARISH|BELOW_MA20|MACD_HIST_REGROW_DOWN|BOUNCE_REJECTION,四線空排（5日均線55.74 < 10日56.43 < 20日56.48 < 60日61.82，向下排列）；股價跌破月線（收盤55.7 < 20日均線56.48）；MACD綠柱由縮轉長（空方動能重新加溫，DIF=-0.8，柱狀體0.15→0.12）；彈後空下跌（反彈高點58.7未突破前段高點62.5的101%，收盤55.7 < 5日均線55.74）
6139,亞翔,TWSE,做空,699.0,5,-1.13,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線706.2 < 10日725.1 < 20日742.8 < 60日798.07，向下排列）；股價跌破月線（收盤699 < 20日均線742.8）；MACD空頭（DIF=-20.77 < MACD=-17.47，且DIF<0）；彈後空下跌（反彈高點762未突破前段高點792的101%，收盤699 < 5日均線706.2）
8932,智通*,TPEx,做空,88.9,5,-0.45,MA_BEARISH|BELOW_MA20|MACD_BEARISH|BOUNCE_REJECTION,四線空排（5日均線89.04 < 10日90.89 < 20日95 < 60日104.09，向下排列）；股價跌破月線（收盤88.9 < 20日均線95）；MACD空頭（DIF=-4.06 < MACD=-3.71，且DIF<0）；彈後空下跌（反彈高點95.5未突破前段高點96.2的101%，收盤88.9 < 5日均線89.04）
