stock_code,stock_name,market,direction,close,score,today_pct,reason_codes,reasons
2006,東和鋼鐵,TWSE,做多,83.0,7,2.34,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_HIST_REGROW|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND,四線多排（5日均線81.92 > 10日81.71 > 20日81.7 > 60日77.2，向上排列）；股價站上月線（收盤83 > 20日均線81.7）；KD黃金交叉且未過熱（K=55.41，D=49.12，K<80）；MACD紅柱由縮轉長（動能重新加溫，DIF=0.68，柱狀體-0.34→-0.21）；放量紅K（今日量為5日均量的1.5倍，收盤83 > 開盤82.1）；回後買上漲（拉回低點80.6未跌破前段低點79.5的99%，收盤83 > 5日均線81.92）
2354,鴻準,TWSE,做多,66.6,7,2.15,MA_BULLISH|ABOVE_MA20|MACD_HIST_REGROW|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線65.36 > 10日65.21 > 20日64.18 > 60日59.67，向上排列）；股價站上月線（收盤66.6 > 20日均線64.18）；MACD紅柱由縮轉長（動能重新加溫，DIF=1.41，柱狀體-0.18→-0.1）；放量紅K（今日量為5日均量的1.64倍，收盤66.6 > 開盤65.9）；回後買上漲（拉回低點63.3未跌破前段低點62.6的99%，收盤66.6 > 5日均線65.36）；RS轉強（相對大盤RS評分由71轉強至72，領先大盤）
2221,大甲,TPEx,做多,116.0,6,9.95,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線100.58 > 10日95.05 > 20日84.64 > 60日60.9，向上排列）；股價站上月線（收盤116 > 20日均線84.64）；MACD多頭（DIF=12.43 > MACD=10.5，且DIF>0）；回後買上漲（拉回低點85.5未跌破前段低點71.9的99%，收盤116 > 5日均線100.58）；RS轉強（相對大盤RS評分由98轉強至99，領先大盤）
6179,亞通,TPEx,做多,41.45,6,9.95,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線36.83 > 10日35.16 > 20日31.94 > 60日28.15，向上排列）；股價站上月線（收盤41.45 > 20日均線31.94）；MACD多頭（DIF=2.91 > MACD=2.11，且DIF>0）；回後買上漲（拉回低點29.4未跌破前段低點27.85的99%，收盤41.45 > 5日均線36.83）；RS轉強（相對大盤RS評分由83轉強至89，領先大盤）
6133,金橋,TWSE,做多,25.55,6,7.81,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|RS_STRONG,四線多排（5日均線23.8 > 10日23.68 > 20日23.3 > 60日22.66，向上排列）；股價站上月線（收盤25.55 > 20日均線23.3）；KD黃金交叉且未過熱（K=58.97，D=48.71，K<80）；MACD多頭（DIF=0.46 > MACD=0.37，且DIF>0）；放量紅K（今日量為5日均量的2.79倍，收盤25.55 > 開盤24）；RS轉強（相對大盤RS評分由72轉強至79，領先大盤）
6505,台塑化,TWSE,做多,86.4,6,7.33,MA_BULLISH|ABOVE_MA20|MACD_HIST_REGROW|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線83.24 > 10日82.73 > 20日78.19 > 60日72.19，向上排列）；股價站上月線（收盤86.4 > 20日均線78.19）；MACD紅柱由縮轉長（動能重新加溫，DIF=3.43，柱狀體0.3→0.42）；回後買上漲（拉回低點78.3未跌破前段低點71.1的99%，收盤86.4 > 5日均線83.24）；RS轉強（相對大盤RS評分由92轉強至93，領先大盤）
6885,全福生技,TWSE,做多,28.65,6,5.33,MA_BULLISH|ABOVE_MA20|MACD_HIST_REGROW|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線27.43 > 10日26.47 > 20日24.49 > 60日22.18，向上排列）；股價站上月線（收盤28.65 > 20日均線24.49）；MACD紅柱由縮轉長（動能重新加溫，DIF=1.67，柱狀體0.32→0.36）；回後買上漲（拉回低點25.05未跌破前段低點22.15的99%，收盤28.65 > 5日均線27.43）；RS轉強（相對大盤RS評分由64轉強至74，領先大盤）
3518,柏騰,TWSE,做多,31.2,6,2.97,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|PULLBACK_REBOUND,四線多排（5日均線30.03 > 10日29.86 > 20日29.4 > 60日28.73，向上排列）；股價站上月線（收盤31.2 > 20日均線29.4）；KD黃金交叉且未過熱（K=44.56，D=33.29，K<80）；MACD多頭（DIF=0.59 > MACD=0.52，且DIF>0）；回後買上漲（拉回低點28.8未跌破前段低點27.5的99%，收盤31.2 > 5日均線30.03）
2617,台航,TWSE,做多,33.2,6,2.31,MA_BULLISH|ABOVE_MA20|MACD_HIST_REGROW|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線32.95 > 10日32.93 > 20日32.15 > 60日30.3，向上排列）；股價站上月線（收盤33.2 > 20日均線32.15）；MACD紅柱由縮轉長（動能重新加溫，DIF=0.8，柱狀體-0.01→-0.01）；回後買上漲（拉回低點31.95未跌破前段低點30.3的99%，收盤33.2 > 5日均線32.95）；RS轉強（相對大盤RS評分由69轉強至72，領先大盤）
1569,濱川,TPEx,做多,51.8,6,2.17,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|PULLBACK_REBOUND,四線多排（5日均線50.3 > 10日49.75 > 20日47.69 > 60日45.14，向上排列）；股價站上月線（收盤51.8 > 20日均線47.69）；KD黃金交叉且未過熱（K=63.78，D=63.38，K<80）；MACD多頭（DIF=1.76 > MACD=1.45，且DIF>0）；回後買上漲（拉回低點47.65未跌破前段低點44.65的99%，收盤51.8 > 5日均線50.3）
2419,仲琦,TWSE,做多,27.65,6,1.1,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|PULLBACK_REBOUND,四線多排（5日均線27.08 > 10日27.02 > 20日26.26 > 60日25.94，向上排列）；股價站上月線（收盤27.65 > 20日均線26.26）；KD黃金交叉且未過熱（K=49.53，D=42.51，K<80）；MACD多頭（DIF=0.53 > MACD=0.43，且DIF>0）；回後買上漲（拉回低點26.55未跌破前段低點24.9的99%，收盤27.65 > 5日均線27.08）
2881,富邦金,TWSE,做多,154.0,6,0.65,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|PULLBACK_REBOUND,四線多排（5日均線152.1 > 10日150.5 > 20日145.8 > 60日132.94，向上排列）；股價站上月線（收盤154 > 20日均線145.8）；KD黃金交叉且未過熱（K=75.85，D=70.68，K<80）；MACD多頭（DIF=5.63 > MACD=5.37，且DIF>0）；回後買上漲（拉回低點144未跌破前段低點140.5的99%，收盤154 > 5日均線152.1）
