stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
2409,2026-09-03,55437100,0,-1129000,1131816,55439916
2845,2026-09-03,29742652,0,-65000,14263,29691915
00878,2026-09-03,185660,0,0,23303871,23489531
2886,2026-09-03,23261199,0,-688000,226308,22799507
2303,2026-09-03,22021498,0,-3756000,2778622,21044120
2889,2026-09-03,20412255,0,0,131550,20543805
2481,2026-09-03,16999031,0,2850000,-62170,19786861
2885,2026-09-03,17375409,0,1505000,481222,19361631
3231,2026-09-03,2762894,0,14523000,564054,17849948
3481,2026-09-03,19021801,0,-3000,-2356958,16661843
5880,2026-09-03,17430887,0,-3264000,-57045,14109842
2618,2026-09-03,9151935,0,3324857,-24421,12452371
2884,2026-09-03,8980461,0,671000,1236820,10888281
2610,2026-09-03,10292524,0,570000,-91441,10771083
2892,2026-09-03,12524298,0,-1997000,-122851,10404447
2609,2026-09-03,9500135,0,-21000,447242,9926377
2897,2026-09-03,8049409,0,1530000,51000,9630409
3045,2026-09-03,8687824,0,1205000,-287862,9604962
2002,2026-09-03,9049125,0,173000,-73884,9148241
009816,2026-09-03,2096606,0,0,7047462,9144068
00990A,2026-09-03,7758200,0,0,1067566,8825766
00664R,2026-09-03,0,0,0,8404000,8404000
00631L,2026-09-03,1389027,0,0,6506411,7895438
2882,2026-09-03,3771554,0,3242000,448667,7462221
2890,2026-09-03,5955641,0,1771000,-343362,7383279
2891,2026-09-03,4234700,0,3353000,-326904,7260796
1301,2026-09-03,7770197,0,-474000,-321029,6975168
2542,2026-09-03,3082247,0,3213000,24009,6319256
2883,2026-09-03,5273176,0,78000,720942,6072118
5876,2026-09-03,2516881,0,2966000,-296366,5186515
1326,2026-09-03,5283031,0,108000,-370078,5020953
2412,2026-09-03,5233493,0,-329000,-27000,4877493
2027,2026-09-03,2193093,0,2098000,367358,4658451
9105,2026-09-03,4329700,0,0,234330,4564030
2880,2026-09-03,7509088,0,-2636630,-370130,4502328
2812,2026-09-03,7409309,0,-3312000,177000,4274309
5608,2026-09-03,4213475,0,0,26000,4239475
2801,2026-09-03,4743176,0,-475000,-131207,4136969
2603,2026-09-03,2444378,0,1494395,163958,4102731
2615,2026-09-03,3218849,0,299000,574864,4092713
2354,2026-09-03,4999623,0,-6000,-1040118,3953505
2382,2026-09-03,3774802,0,177000,-138968,3812834
009824,2026-09-03,325010,0,0,3417660,3742670
00882,2026-09-03,496000,0,0,3173224,3669224
00900,2026-09-03,211000,0,0,3452445,3663445
00922,2026-09-03,467096,0,0,3193256,3660352
3711,2026-09-03,3487906,0,225000,-133987,3578919
2820,2026-09-03,3431010,0,0,130998,3562008
00688L,2026-09-03,129000,0,0,3156000,3285000
2881,2026-09-03,1922806,0,937000,231800,3091606
00680L,2026-09-03,-3472000,0,0,6336175,2864175
1605,2026-09-03,2888803,0,184000,-232147,2840656
1102,2026-09-03,4126,0,2803973,-81277,2726822
00988A,2026-09-03,1945968,0,0,777000,2722968
2637,2026-09-03,2307931,0,115448,65753,2489132
2308,2026-09-03,2108352,0,137504,203169,2449025
2606,2026-09-03,2028218,0,131000,277686,2436904
2455,2026-09-03,2690798,0,126000,-402251,2414547
00665L,2026-09-03,671000,0,0,1642190,2313190
00940,2026-09-03,-2014926,0,0,4237243,2222317
6213,2026-09-03,2052230,0,52000,33340,2137570
2617,2026-09-03,1898677,0,0,23334,1922011
6177,2026-09-03,1425762,0,430005,4000,1859767
8150,2026-09-03,2165963,0,6000,-486911,1685052
2454,2026-09-03,1172391,0,451055,60267,1683713
4904,2026-09-03,1976791,0,-238000,-104272,1634519
00715L,2026-09-03,1439000,0,0,184729,1623729
3605,2026-09-03,1683547,0,0,-82175,1601372
8039,2026-09-03,1956328,0,-46000,-309915,1600413
00753L,2026-09-03,1423000,0,0,172486,1595486
1710,2026-09-03,1369469,0,0,182919,1552388
