stock_code,trade_date,ma5,ma10,ma20,ma60,vol_ma5,kd_k,kd_d,macd_dif,macd_macd,macd_osc,rsi6,rsi12,bb_upper,bb_mid,bb_lower,bias20,ma_alignment,rs_rating
0050,2026-09-03,106.92999877929688,105.94500045776367,105.3849998474121,104.60066668192546,73658588.0,71.45533304426881,71.90511711113669,0.9666592031832266,0.7828300600183727,0.18382914316485388,51.541654453513104,54.088267919851134,108.29470997084577,105.3849998474121,102.47528972397843,0.7733520918632875,多排,87.0
0051,2026-09-03,145.72999877929686,144.44499969482422,143.62099914550782,142.14833348592123,45567.4,71.56260775143366,74.1784715648545,1.559691062587376,1.3308638825825567,0.22882718000481939,46.793233688246076,52.79266302405647,147.70638700554673,143.62099914550782,139.53561128546892,0.26388958212732955,多排,85.0
0052,2026-09-03,62.179998779296874,61.71499938964844,61.425,61.12583332061767,14275529.4,67.04257778095709,68.53072436447839,0.49040923390055724,0.40684804152774845,0.08356119237280879,48.12865933828897,52.20317114761179,63.01228443741205,61.425,59.837715562587945,0.28489780076694604,多排,68.0
0053,2026-09-03,242.47000122070312,241.00999908447267,239.66999893188478,236.71083246866863,61472.4,66.8960523618085,69.60977866305078,2.451308849639389,2.30151196003322,0.149796889606169,46.771815687706805,51.62829841363059,246.49560443873415,239.66999893188478,232.8443934250354,0.012516383565360664,多排,89.0
0055,2026-09-03,46.59199981689453,45.430999755859375,44.60899982452393,43.13333301544189,627925.0,91.42901005399013,87.73870653738459,1.0504834504963583,0.7073376626753427,0.34314578782101557,90.31297493457257,78.92316812794678,47.27905915719715,44.60899982452393,41.9389404918507,8.049947213659255,多排,87.0
0056,2026-09-03,54.57999877929687,53.699999237060545,53.08249969482422,51.95466658274333,32730569.4,80.39277212807387,77.87469324219121,0.9199733100734448,0.7201039894656798,0.19986932060776508,66.15535508698804,64.52683156931968,55.21205905263454,53.08249969482422,50.95294033701391,2.670372181651406,多排,84.0
0057,2026-09-03,319.13999633789064,316.6200012207031,314.85749969482424,311.2891667683919,18293.4,76.50094378008289,74.78772793652126,3.081542770726287,2.6294667139517913,0.4520760567744957,53.20879781232285,54.893302705863455,323.8800608631819,314.85749969482424,305.8349385264666,0.9186696546784865,多排,88.0
0061,2026-09-03,24.27599983215332,24.30099983215332,24.588999938964843,24.873166656494142,78830.0,35.7842835219202,40.261062254147845,-0.1704037490029222,-0.13783870478698124,-0.032565044215940975,32.835112410584614,39.53878420859089,25.32378681827552,24.588999938964843,23.854213059654167,-2.1920399497426133,空排,63.0
00929,2026-09-03,29.21199951171875,28.94499969482422,29.002000045776366,,28240237.6,73.0652134308908,69.82367606038785,0.07352065593821067,0.008246866091779336,0.06527378984643133,43.845273374910235,51.37961357700617,29.81213568333021,29.002000045776366,28.19186440822252,-0.38618252517463847,,
1101,2026-09-03,24.649999618530273,24.579999923706055,24.46249990463257,24.085833231608074,137812611.0,32.573134900547075,36.40965453663614,0.15404574413422267,0.14387312921967155,0.010172614914551126,47.041990498791456,50.54866134678807,25.10884573080112,24.46249990463257,23.816154078464017,-0.05109511187263787,多排,62.0
1102,2026-09-03,34.89000015258789,34.94000015258789,34.03000011444092,34.350000063578285,8513438.6,80.15374593890924,80.56518450703832,0.427817932959897,0.2907748497858297,0.13704308317406733,67.14270668368601,63.138601198142766,36.257909483160155,34.03000011444092,31.802090745721678,3.438144709267976,交叉混雜,51.0
1103,2026-09-03,13.219999885559082,13.239999961853027,13.194999885559081,13.363333241144817,264578.6,49.43667506967231,48.875879324241986,-0.00825334987009363,-0.025807394014955208,0.01755404414486158,57.513569082853635,52.3813983117466,13.332266533250026,13.194999885559081,13.057733237868137,0.41682542567591907,交叉混雜,49.0
1104,2026-09-03,27.00999984741211,26.874999809265137,26.73249979019165,27.108333333333334,2626503.4,78.14368811544182,69.79885156204634,0.0808539171480902,-0.03850534726556813,0.11935926441365834,80.8273140668602,69.46506913745628,27.362683219452045,26.73249979019165,26.102316360931255,3.993264585231833,交叉混雜,41.0
1108,2026-09-03,11.689999961853028,11.725,11.782500076293946,12.675833304723104,165722.6,17.779240996182768,25.331817919450522,-0.19131600957336659,-0.2272921751861957,0.035976165612829125,23.12202567894326,29.695825655201375,12.02803949347934,11.782500076293946,11.536960659108551,-1.5489046776363162,空排,11.0
