index_code,trade_date,open,high,low,close,volume
DJI,2026-09-11,52204.4609375,52720.23828125,52204.4609375,52573.2890625,354460000
NASDAQ,2026-09-11,26289.41015625,26431.220703125,26283.109375,26333.0390625,6587900000
SOX,2026-09-11,11753.8701171875,11910.2001953125,11711.330078125,11824.0,0
SPX,2026-09-11,7636.75,7677.02001953125,7636.75,7656.97998046875,4722480000
TAIEX,2026-09-14,46010.73828125,46050.23828125,45398.4296875,45939.62890625,0
TPEx,2026-09-14,393.3699951171875,396.95001220703125,386.9100036621094,395.30999755859375,0
