stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
00403A,2026-09-22,236282481,0,0,159481440,395763921
2409,2026-09-22,245313959,0,-42863,5213522,250484618
00409A,2026-09-22,121083000,0,0,32784723,153867723
00981A,2026-09-22,102892361,0,0,45079230,147971591
00405A,2026-09-22,85245205,0,0,41054374,126299579
00407A,2026-09-22,32722802,0,0,88533874,121256676
00631L,2026-09-22,45345,0,0,72945844,72991189
00685L,2026-09-22,-1325000,0,0,61661440,60336440
2303,2026-09-22,50545175,0,7771888,1700945,60018008
00991A,2026-09-22,43022265,0,0,11684227,54706492
00400A,2026-09-22,24150502,0,0,6890495,31040997
009828,2026-09-22,32399400,0,136000,-3285785,29249615
3481,2026-09-22,24829555,0,-44402,1858110,26643263
00402A,2026-09-22,17743000,0,0,8682177,26425177
00992A,2026-09-22,19091148,0,0,4441409,23532557
00988A,2026-09-22,13118000,0,0,9128000,22246000
009820,2026-09-22,597000,0,0,21610102,22207102
009829,2026-09-22,5689999,0,0,15559821,21249820
2449,2026-09-22,16162022,0,2979171,1108238,20249431
00982A,2026-09-22,5444500,0,0,11183150,16627650
1101,2026-09-22,14828392,0,-31000,514791,15312183
00673R,2026-09-22,237000,0,0,14255545,14492545
00927,2026-09-22,7281925,0,0,5681432,12963357
8150,2026-09-22,9867370,0,0,2045164,11912534
6168,2026-09-22,11576597,0,0,48292,11624889
4958,2026-09-22,9732801,0,1129595,383245,11245641
00637L,2026-09-22,717000,0,0,10402610,11119610
3711,2026-09-22,8479833,0,1163223,1108322,10751378
2618,2026-09-22,6621438,0,3993000,92216,10706654
00929,2026-09-22,9053415,0,0,1641099,10694514
2610,2026-09-22,5252000,0,5133000,88517,10473517
00891,2026-09-22,5667500,0,0,4447339,10114839
00997A,2026-09-22,6455000,0,0,3567782,10022782
6116,2026-09-22,8390202,0,0,1616602,10006804
3189,2026-09-22,8471578,0,179000,894262,9544840
0050,2026-09-22,7840432,0,487000,1144866,9472298
6770,2026-09-22,8722658,0,-26527,625747,9321878
2892,2026-09-22,9026115,0,171486,89548,9287149
2327,2026-09-22,7871240,0,185724,1071356,9128320
00404A,2026-09-22,4227000,0,0,4354790,8581790
00990A,2026-09-22,1130650,0,0,7307766,8438416
2886,2026-09-22,12736350,0,-4781067,467504,8422787
00881,2026-09-22,1920808,0,0,6309394,8230202
2317,2026-09-22,6811470,0,-18905,932592,7725157
00940,2026-09-22,2086999,0,0,5470810,7557809
009824,2026-09-22,106000,0,0,7206176,7312176
00665L,2026-09-22,836000,0,0,5856523,6692523
3016,2026-09-22,6315279,0,0,-106239,6209040
0052,2026-09-22,2257585,0,0,3946009,6203594
8046,2026-09-22,5863122,0,4818,253358,6121298
3037,2026-09-22,5130716,0,-82286,787371,5835801
2481,2026-09-22,5343270,0,78000,254403,5675673
6257,2026-09-22,5709173,0,-98000,-259490,5351683
00996A,2026-09-22,1531000,0,0,3713641,5244641
00993A,2026-09-22,4952000,0,0,218609,5170609
00935,2026-09-22,5430107,0,-598000,275358,5107465
00999A,2026-09-22,2204000,0,0,2778118,4982118
00680L,2026-09-22,104000,0,0,4707525,4811525
00406A,2026-09-22,22874300,0,0,-18503487,4370813
00994A,2026-09-22,3970000,0,0,311077,4281077
2354,2026-09-22,4091337,0,-3000,145937,4234274
00980A,2026-09-22,1255000,0,577000,2243585,4075585
009802,2026-09-22,813000,0,0,3217340,4030340
1312,2026-09-22,3753590,0,0,199067,3952657
3045,2026-09-22,3839922,0,-196553,299959,3943328
2885,2026-09-22,4305327,0,-567259,155657,3893725
00753L,2026-09-22,910000,0,0,2864949,3774949
1718,2026-09-22,3684197,0,0,61075,3745272
6278,2026-09-22,2928663,0,0,687227,3615890
00830,2026-09-22,3325191,0,0,146237,3471428
1102,2026-09-22,3175019,0,172440,95755,3443214
3035,2026-09-22,2687525,0,0,733880,3421405
2609,2026-09-22,3611149,0,74000,-324563,3360586
2030,2026-09-22,3266667,0,0,20639,3287306
2441,2026-09-22,4023596,0,-666000,-75924,3281672
