index_code,trade_date,open,high,low,close,volume
DJI,2026-08-28,53611.94140625,53819.6484375,53489.41015625,53560.0,507511504
NASDAQ,2026-08-28,26515.98828125,26700.677734375,26359.265625,26402.423828125,7526280000
SOX,2026-08-28,11731.5810546875,11794.27734375,11435.697265625,11469.662109375,0
SPX,2026-08-28,7735.169921875,7771.47998046875,7700.91015625,7711.759765625,2589484000
TAIEX,2026-08-28,46070.828125,46574.51953125,46070.828125,46331.44921875,0
TPEx,2026-08-28,401.3800048828125,406.239990234375,399.30999755859375,402.8299865722656,0
