stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
00685L,2026-08-05,51302,0,0,201869782,201921084
00631L,2026-08-05,116917902,0,0,62630893,179548795
00403A,2026-08-05,105929107,0,0,68183097,174112204
0050,2026-08-05,84036810,0,9902000,-9300365,84638445
009816,2026-08-05,65070440,0,0,7293490,72363930
00407A,2026-08-05,-906022,0,0,54032626,53126604
00981A,2026-08-05,38457145,0,1300000,11136224,50893369
3231,2026-08-05,35613026,0,5824909,-3332350,38105585
2883,2026-08-05,39175595,0,-1154883,-751337,37269375
0056,2026-08-05,15036177,0,80000,21639542,36755719
2317,2026-08-05,36977842,0,-1107959,488817,36358700
2301,2026-08-05,29757994,0,470701,-220497,30008198
00940,2026-08-05,1757019,0,0,27893497,29650516
00919,2026-08-05,13700204,0,0,12536439,26236643
0052,2026-08-05,13122645,0,1600000,9233185,23955830
2618,2026-08-05,23852111,0,-133929,-1360465,22357717
009819,2026-08-05,15078000,0,0,7210520,22288520
009824,2026-08-05,5987990,0,0,16061518,22049508
00680L,2026-08-05,6258000,0,0,15651911,21909911
00673R,2026-08-05,-228000,0,0,19559615,19331615
00400A,2026-08-05,12034380,0,0,7236409,19270789
1605,2026-08-05,18179511,0,2868,581529,18763908
00999A,2026-08-05,10933000,0,0,7471509,18404509
2344,2026-08-05,9363434,0,9995104,-1862633,17495905
00406A,2026-08-05,-1949000,0,0,18468747,16519747
00988A,2026-08-05,16350800,0,0,156862,16507662
00405A,2026-08-05,22944000,0,0,-7065121,15878879
2610,2026-08-05,13888815,0,856025,-51458,14693382
00992A,2026-08-05,5857800,0,0,8780792,14638592
2891,2026-08-05,15924568,0,-979876,-812573,14132119
2324,2026-08-05,12931622,0,-1963,180205,13109864
00402A,2026-08-05,2392090,0,0,9301344,11693434
2634,2026-08-05,9487282,0,1000,935946,10424228
1314,2026-08-05,9661613,0,0,546771,10208384
3037,2026-08-05,8712450,0,1556592,-181894,10087148
2330,2026-08-05,12251238,0,-1221434,-1099016,9930788
2353,2026-08-05,8737024,0,111429,-23819,8824634
009820,2026-08-05,13493,0,0,8752008,8765501
00410A,2026-08-05,-1750000,0,0,10006154,8256154
2408,2026-08-05,7255434,0,3916935,-3023236,8149133
00408A,2026-08-05,-8000,0,0,8117310,8109310
00637L,2026-08-05,909000,0,0,7043891,7952891
00753L,2026-08-05,-849000,0,0,7757996,6908996
2313,2026-08-05,5671811,0,-2000,672250,6342061
3706,2026-08-05,5747768,0,243000,24877,6015645
2002,2026-08-05,5655665,0,7000,38000,5700665
00997A,2026-08-05,3253200,0,0,2389261,5642461
4938,2026-08-05,5508499,0,44604,-63590,5489513
009821,2026-08-05,3893360,0,0,1512656,5406016
00935,2026-08-05,2012996,0,0,3142307,5155303
00688L,2026-08-05,1956000,0,0,3164094,5120094
2388,2026-08-05,5360793,0,-100000,-151221,5109572
2890,2026-08-05,6692412,0,-217417,-1366451,5108544
3605,2026-08-05,4967809,0,0,138525,5106334
2376,2026-08-05,4976009,0,31850,-44078,4963781
2887,2026-08-05,5982893,0,-20782,-1162014,4800097
00900,2026-08-05,4350000,0,0,280513,4630513
3006,2026-08-05,4290590,0,0,149459,4440049
2881,2026-08-05,5205578,0,-811258,-141198,4253122
3189,2026-08-05,3198315,0,931864,102434,4232613
2027,2026-08-05,3480395,0,811702,-100359,4191738
00918,2026-08-05,518100,0,0,3642420,4160520
00965,2026-08-05,956000,0,0,3074050,4030050
00663L,2026-08-05,782000,0,0,3217425,3999425
00993A,2026-08-05,2501000,0,0,1491278,3992278
1717,2026-08-05,3293592,0,363575,283797,3940964
2204,2026-08-05,4537689,0,-663672,-783,3873234
8112,2026-08-05,4745807,0,-632498,-291823,3821486
00922,2026-08-05,2964000,0,0,764675,3728675
2377,2026-08-05,2987570,0,-11633,681611,3657548
00830,2026-08-05,4167588,0,0,-939650,3227938
00404A,2026-08-05,-11000,0,0,3212209,3201209
00927,2026-08-05,5132000,0,0,-1971482,3160518
6213,2026-08-05,2727342,0,0,222839,2950181
5388,2026-08-05,2834295,0,-2684,57966,2889577
1504,2026-08-05,2862844,0,-5113,-29849,2827882
2882,2026-08-05,3166290,0,-306702,-70526,2789062
00953B,2026-08-05,-109000,0,5000000,-2249052,2641948
2359,2026-08-05,2374156,0,0,183344,2557500
00996A,2026-08-05,854000,0,0,1690085,2544085
