stock_code,data_date,tier,holders,shares,pct
000218,2026-09-04,1,0,0,0.0
000218,2026-09-04,2,0,0,0.0
000218,2026-09-04,3,0,0,0.0
000218,2026-09-04,4,0,0,0.0
000218,2026-09-04,5,0,0,0.0
000218,2026-09-04,6,0,0,0.0
000218,2026-09-04,7,0,0,0.0
000218,2026-09-04,8,0,0,0.0
000218,2026-09-04,9,0,0,0.0
000218,2026-09-04,10,0,0,0.0
000218,2026-09-04,11,0,0,0.0
000218,2026-09-04,12,0,0,0.0
000218,2026-09-04,13,0,0,0.0
000218,2026-09-04,14,0,0,0.0
000218,2026-09-04,15,1,422278902,100.0
000218,2026-09-04,16,0,0,0.0
000218,2026-09-04,17,1,422278902,100.0
000560,2026-09-04,1,0,0,0.0
000560,2026-09-04,2,0,0,0.0
000560,2026-09-04,3,0,0,0.0
000560,2026-09-04,4,0,0,0.0
000560,2026-09-04,5,0,0,0.0
000560,2026-09-04,6,0,0,0.0
000560,2026-09-04,7,0,0,0.0
000560,2026-09-04,8,0,0,0.0
000560,2026-09-04,9,0,0,0.0
000560,2026-09-04,10,0,0,0.0
000560,2026-09-04,11,0,0,0.0
000560,2026-09-04,12,0,0,0.0
000560,2026-09-04,13,0,0,0.0
000560,2026-09-04,14,0,0,0.0
000560,2026-09-04,15,1,29700000,100.0
000560,2026-09-04,16,0,0,0.0
000560,2026-09-04,17,1,29700000,100.0
000708,2026-09-04,1,0,0,0.0
000708,2026-09-04,2,0,0,0.0
000708,2026-09-04,3,0,0,0.0
000708,2026-09-04,4,0,0,0.0
000708,2026-09-04,5,0,0,0.0
000708,2026-09-04,6,0,0,0.0
000708,2026-09-04,7,0,0,0.0
000708,2026-09-04,8,0,0,0.0
000708,2026-09-04,9,0,0,0.0
000708,2026-09-04,10,0,0,0.0
000708,2026-09-04,11,0,0,0.0
000708,2026-09-04,12,0,0,0.0
000708,2026-09-04,13,0,0,0.0
000708,2026-09-04,14,0,0,0.0
000708,2026-09-04,15,1,20200000,100.0
000708,2026-09-04,16,0,0,0.0
000708,2026-09-04,17,1,20200000,100.0
000779,2026-09-04,1,0,0,0.0
000779,2026-09-04,2,0,0,0.0
000779,2026-09-04,3,0,0,0.0
000779,2026-09-04,4,0,0,0.0
000779,2026-09-04,5,0,0,0.0
000779,2026-09-04,6,0,0,0.0
