stock_code,trade_date,ma5,ma10,ma20,ma60,vol_ma5,kd_k,kd_d,macd_dif,macd_macd,macd_osc,rsi6,rsi12,bb_upper,bb_mid,bb_lower,bias20,ma_alignment,rs_rating
0050,2026-08-24,104.14000091552734,105.00499954223633,102.69199981689454,104.32066650390625,54769991.0,44.43482415327659,60.227780396847926,0.4943930390166429,0.38324580239237654,0.11114723662426634,49.81665151670022,51.63024596568033,110.24440367527855,102.69199981689454,95.13959595851053,1.5171582848551617,交叉混雜,86.0
0051,2026-08-24,141.9800018310547,143.06100006103514,138.87999954223633,141.85583368937174,28517.2,62.23488257529044,79.55372948315016,0.9701840663434496,0.6378868498490095,0.3322972164944401,58.87087783207947,55.503933931325776,151.2600307671242,138.87999954223633,126.49996831734846,2.858587683154426,交叉混雜,83.0
0052,2026-08-24,60.64000015258789,61.19000015258789,59.85000057220459,61.016666666666666,9727968.0,39.856916565376196,49.16245765632,0.22772041415503708,0.15949558224301655,0.06822483191202053,51.68376528809093,51.95599580167593,64.37966854480949,59.85000057220459,55.320332599599695,1.6708402545628678,交叉混雜,9.0
0053,2026-08-24,237.48999633789063,239.18999786376952,231.94499893188475,236.43166580200196,63569.0,53.070965115613006,65.25769517363774,1.984779575674537,1.4047675071798267,0.5800120684947103,54.87467243666922,54.30343229344977,254.09869275101454,231.94499893188475,209.79130511275497,2.7829851880079803,交叉混雜,87.0
0055,2026-08-24,43.71999893188477,43.78899955749512,43.67799949645996,42.14633305867513,204361.4,66.98703598584962,72.1189870153847,0.40321973145920964,0.513906115254075,-0.1106863837948654,51.210156125191475,53.53742778319482,45.016665745631116,43.67799949645996,42.339333247288806,0.27931622786541277,交叉混雜,84.0
0056,2026-08-24,52.32000045776367,52.60000038146973,51.17700004577637,51.640000089009604,20415930.0,46.49506786915902,61.69815063491632,0.4897548229250219,0.4079942876174933,0.08176053530752864,56.46757912384895,55.99929253089295,55.31875771502341,51.17700004577637,47.035242376529325,2.487446931286365,交叉混雜,81.0
0057,2026-08-24,311.0,313.76000061035154,306.73499908447263,310.03333333333336,25197.0,41.643179092046815,52.39955752106751,1.8301502774291407,1.5822724564512674,0.24787782097787336,51.50580303101355,52.39541168686252,330.004113534906,306.73499908447263,283.46588463403924,1.7001689204440733,交叉混雜,87.0
0061,2026-08-24,24.45,24.725000190734864,24.72400007247925,24.946166706085204,104968.0,25.596246437819733,36.54932583998802,-0.12189246799574249,-0.055296737061937704,-0.06659573093380479,29.375089192634277,39.72457335067487,25.340932944412412,24.72400007247925,24.107067200546087,-2.119395356753254,交叉混雜,63.0
00929,2026-08-24,28.542000198364256,28.972000312805175,28.395000171661376,,32636667.8,29.275887956158535,41.606220170271804,-0.09674031606031619,-0.106964935518786,0.010224619458469808,43.866928751094434,50.52951237096878,30.42209593623155,28.395000171661376,26.367904407091203,0.5458674571654413,,
1101,2026-08-24,24.55,24.435000038146974,24.324999809265137,24.062499936421712,30388420.2,62.727492360680344,57.612448052771896,0.1966971262565167,0.1377078387426403,0.05898928751387639,72.26772190781926,62.42728653506359,25.05661703722429,24.324999809265137,23.593382581305985,2.569377013669123,多排,59.0
