stock_code,stock_name,market,sector_id,is_active
1731,美吾華,TWSE,157.0,1
1732,毛寶,TWSE,158.0,1
1733,五鼎,TWSE,157.0,1
1734,杏輝,TWSE,157.0,1
1735,日勝化,TWSE,158.0,1
1736,喬山,TWSE,63.0,1
1737,臺鹽,TWSE,8.0,1
1752,南光,TWSE,157.0,1
1760,寶齡富錦,TWSE,157.0,1
1762,中化生,TWSE,157.0,1
1773,勝一,TWSE,158.0,1
1776,展宇,TWSE,158.0,1
1783,和康生,TWSE,157.0,1
1786,科妍,TWSE,157.0,1
1789,神隆,TWSE,157.0,1
1795,美時,TWSE,157.0,1
1802,台玻,TWSE,191.0,1
1805,寶徠,TWSE,40.0,1
1806,冠軍,TWSE,191.0,1
1808,潤隆,TWSE,40.0,1
1809,中釉,TWSE,191.0,1
1810,和成,TWSE,191.0,1
1817,凱撒衛,TWSE,191.0,1
1903,士紙,TWSE,198.0,1
1904,正隆,TWSE,198.0,1
1905,華紙,TWSE,198.0,1
1906,寶隆,TWSE,198.0,1
1907,永豐餘,TWSE,198.0,1
1909,榮成,TWSE,198.0,1
2002,中鋼,TWSE,204.0,1
2006,東和鋼鐵,TWSE,204.0,1
2007,燁興,TWSE,204.0,1
2008,高興昌,TWSE,204.0,1
2009,第一銅,TWSE,204.0,1
2010,春源,TWSE,204.0,1
2012,春雨,TWSE,204.0,1
2013,中鋼構,TWSE,204.0,1
2014,中鴻,TWSE,204.0,1
2015,豐興,TWSE,204.0,1
2017,官田鋼,TWSE,204.0,1
2020,美亞,TWSE,204.0,1
2022,聚亨,TWSE,204.0,1
2023,燁輝,TWSE,204.0,1
2024,志聯,TWSE,204.0,1
2025,千興,TWSE,204.0,1
2027,大成鋼,TWSE,204.0,1
2028,威致,TWSE,204.0,1
2029,盛餘,TWSE,204.0,1
2030,彰源,TWSE,204.0,1
2031,新光鋼,TWSE,204.0,1
2032,新鋼,TWSE,204.0,1
2033,佳大,TWSE,204.0,1
2034,允強,TWSE,204.0,1
2038,海光,TWSE,204.0,1
2049,上銀,TWSE,102.0,1
2059,川湖,TWSE,95.0,1
2062,橋椿,TWSE,231.0,1
2069,運錩,TWSE,204.0,1
2072,世紀風電,TWSE,233.0,1
2101,南港,TWSE,234.0,1
2102,泰豐,TWSE,234.0,1
2103,台橡,TWSE,234.0,1
2104,國際中橡,TWSE,234.0,1
2105,正新,TWSE,234.0,1
2106,建大,TWSE,234.0,1
2107,厚生,TWSE,234.0,1
2108,南帝,TWSE,234.0,1
2109,華豐,TWSE,234.0,1
2114,鑫永銓,TWSE,234.0,1
2115,六暉-KY,TWSE,41.0,1
2201,裕隆,TWSE,41.0,1
2204,中華,TWSE,41.0,1
2206,三陽工業,TWSE,41.0,1
2207,和泰車,TWSE,41.0,1
2208,台船,TWSE,249.0,1
2211,長榮鋼,TWSE,204.0,1
2227,裕日車,TWSE,41.0,1
2228,劍麟,TWSE,41.0,1
2231,為升,TWSE,41.0,1
2233,宇隆,TWSE,41.0,1
2236,百達-KY,TWSE,41.0,1
2239,英利-KY,TWSE,41.0,1
2241,艾姆勒,TWSE,41.0,1
2243,宏旭-KY,TWSE,41.0,1
2247,汎德永業,TWSE,41.0,1
2248,華勝-KY,TWSE,41.0,1
2250,IKKA-KY,TWSE,41.0,1
2301,光寶科,TWSE,262.0,1
2302,麗正,TWSE,263.0,1
2303,聯電,TWSE,263.0,1
2305,全友,TWSE,262.0,1
2308,台達電,TWSE,95.0,1
2312,金寶,TWSE,267.0,1
2313,華通,TWSE,95.0,1
