stock_code,data_date,tier,holders,shares,pct
000218,2026-09-18,1,0,0,0.0
000218,2026-09-18,2,0,0,0.0
000218,2026-09-18,3,0,0,0.0
000218,2026-09-18,4,0,0,0.0
000218,2026-09-18,5,0,0,0.0
000218,2026-09-18,6,0,0,0.0
000218,2026-09-18,7,0,0,0.0
000218,2026-09-18,8,0,0,0.0
000218,2026-09-18,9,0,0,0.0
000218,2026-09-18,10,0,0,0.0
000218,2026-09-18,11,0,0,0.0
000218,2026-09-18,12,0,0,0.0
000218,2026-09-18,13,0,0,0.0
000218,2026-09-18,14,0,0,0.0
000218,2026-09-18,15,1,422278902,100.0
000218,2026-09-18,16,0,0,0.0
000218,2026-09-18,17,1,422278902,100.0
000560,2026-09-18,1,0,0,0.0
000560,2026-09-18,2,0,0,0.0
000560,2026-09-18,3,0,0,0.0
000560,2026-09-18,4,0,0,0.0
000560,2026-09-18,5,0,0,0.0
000560,2026-09-18,6,0,0,0.0
000560,2026-09-18,7,0,0,0.0
000560,2026-09-18,8,0,0,0.0
000560,2026-09-18,9,0,0,0.0
000560,2026-09-18,10,0,0,0.0
000560,2026-09-18,11,0,0,0.0
000560,2026-09-18,12,0,0,0.0
000560,2026-09-18,13,0,0,0.0
000560,2026-09-18,14,0,0,0.0
000560,2026-09-18,15,1,29700000,100.0
000560,2026-09-18,16,0,0,0.0
000560,2026-09-18,17,1,29700000,100.0
000708,2026-09-18,1,0,0,0.0
000708,2026-09-18,2,0,0,0.0
000708,2026-09-18,3,0,0,0.0
000708,2026-09-18,4,0,0,0.0
000708,2026-09-18,5,0,0,0.0
000708,2026-09-18,6,0,0,0.0
000708,2026-09-18,7,0,0,0.0
000708,2026-09-18,8,0,0,0.0
000708,2026-09-18,9,0,0,0.0
000708,2026-09-18,10,0,0,0.0
000708,2026-09-18,11,0,0,0.0
000708,2026-09-18,12,0,0,0.0
000708,2026-09-18,13,0,0,0.0
000708,2026-09-18,14,0,0,0.0
000708,2026-09-18,15,1,20200000,100.0
000708,2026-09-18,16,0,0,0.0
000708,2026-09-18,17,1,20200000,100.0
000779,2026-09-18,1,0,0,0.0
000779,2026-09-18,2,0,0,0.0
000779,2026-09-18,3,0,0,0.0
000779,2026-09-18,4,0,0,0.0
000779,2026-09-18,5,0,0,0.0
000779,2026-09-18,6,0,0,0.0
000779,2026-09-18,7,0,0,0.0
000779,2026-09-18,8,0,0,0.0
000779,2026-09-18,9,0,0,0.0
000779,2026-09-18,10,0,0,0.0
000779,2026-09-18,11,0,0,0.0
000779,2026-09-18,12,0,0,0.0
000779,2026-09-18,13,0,0,0.0
000779,2026-09-18,14,0,0,0.0
000779,2026-09-18,15,1,1150000000,100.0
000779,2026-09-18,16,0,0,0.0
000779,2026-09-18,17,1,1150000000,100.0
000815,2026-09-18,1,0,0,0.0
000815,2026-09-18,2,0,0,0.0
000815,2026-09-18,3,0,0,0.0
000815,2026-09-18,4,0,0,0.0
000815,2026-09-18,5,0,0,0.0
000815,2026-09-18,6,0,0,0.0
000815,2026-09-18,7,0,0,0.0
000815,2026-09-18,8,0,0,0.0
000815,2026-09-18,9,0,0,0.0
000815,2026-09-18,10,0,0,0.0
000815,2026-09-18,11,0,0,0.0
000815,2026-09-18,12,0,0,0.0
000815,2026-09-18,13,0,0,0.0
000815,2026-09-18,14,0,0,0.0
000815,2026-09-18,15,1,2505407068,100.0
000815,2026-09-18,16,0,0,0.0
000815,2026-09-18,17,1,2505407068,100.0
000856,2026-09-18,1,0,0,0.0
000856,2026-09-18,2,0,0,0.0
000856,2026-09-18,3,0,0,0.0
000856,2026-09-18,4,0,0,0.0
000856,2026-09-18,5,0,0,0.0
000856,2026-09-18,6,0,0,0.0
000856,2026-09-18,7,0,0,0.0
000856,2026-09-18,8,0,0,0.0
000856,2026-09-18,9,0,0,0.0
000856,2026-09-18,10,0,0,0.0
000856,2026-09-18,11,0,0,0.0
000856,2026-09-18,12,0,0,0.0
000856,2026-09-18,13,0,0,0.0
000856,2026-09-18,14,0,0,0.0
000856,2026-09-18,15,1,323400000,100.0
000856,2026-09-18,16,0,0,0.0
000856,2026-09-18,17,1,323400000,100.0
00400A,2026-09-18,1,14926,3960511,0.2
00400A,2026-09-18,2,68654,167022609,8.73
00400A,2026-09-18,3,21525,184863689,9.66
00400A,2026-09-18,4,7065,92180520,4.82
00400A,2026-09-18,5,6781,129313254,6.76
00400A,2026-09-18,6,5926,157736010,8.24
00400A,2026-09-18,7,2691,98012974,5.12
00400A,2026-09-18,8,2682,128807134,6.73
00400A,2026-09-18,9,3974,302689490,15.82
00400A,2026-09-18,10,1552,224467254,11.73
00400A,2026-09-18,11,477,135486495,7.08
00400A,2026-09-18,12,112,54692588,2.86
00400A,2026-09-18,13,32,22601735,1.18
00400A,2026-09-18,14,25,23042000,1.2
00400A,2026-09-18,15,47,187263737,9.79
00400A,2026-09-18,16,0,0,0.0
00400A,2026-09-18,17,136469,1912140000,100.0
00401A,2026-09-18,1,1614,392103,0.14
00401A,2026-09-18,2,9835,23666808,9.03
00401A,2026-09-18,3,3017,26856738,10.25
00401A,2026-09-18,4,778,10239554,3.9
00401A,2026-09-18,5,918,17769880,6.78
00401A,2026-09-18,6,638,17473718,6.67
00401A,2026-09-18,7,261,9607200,3.66
00401A,2026-09-18,8,366,17912983,6.83
00401A,2026-09-18,9,459,36947518,14.1
00401A,2026-09-18,10,147,21358267,8.15
00401A,2026-09-18,11,48,13693434,5.22
00401A,2026-09-18,12,10,4722094,1.8
00401A,2026-09-18,13,1,667000,0.25
00401A,2026-09-18,14,4,3676000,1.4
00401A,2026-09-18,15,19,56911703,21.73
00401A,2026-09-18,16,0,0,0.0
00401A,2026-09-18,17,18115,261895000,100.0
00402A,2026-09-18,1,2131,609990,0.08
00402A,2026-09-18,2,24906,64754844,9.26
00402A,2026-09-18,3,8646,77245909,11.05
00402A,2026-09-18,4,2300,30529563,4.36
00402A,2026-09-18,5,2694,52444158,7.5
00402A,2026-09-18,6,2064,56666744,8.11
00402A,2026-09-18,7,678,25027909,3.58
00402A,2026-09-18,8,1073,52723493,7.54
00402A,2026-09-18,9,1180,97531185,13.96
00402A,2026-09-18,10,386,59972049,8.58
00402A,2026-09-18,11,121,36021825,5.15
00402A,2026-09-18,12,53,27065003,3.87
00402A,2026-09-18,13,13,9042504,1.29
00402A,2026-09-18,14,15,14371109,2.05
00402A,2026-09-18,15,17,94620715,13.54
00402A,2026-09-18,16,0,0,0.0
00402A,2026-09-18,17,46277,698627000,100.0
00403A,2026-09-18,1,53058,15977229,0.1
00403A,2026-09-18,2,442724,1144609035,7.64
00403A,2026-09-18,3,162904,1402124305,9.36
00403A,2026-09-18,4,57809,763502144,5.1
00403A,2026-09-18,5,55943,1071091434,7.15
00403A,2026-09-18,6,48114,1287786245,8.6
00403A,2026-09-18,7,22181,813997115,5.43
00403A,2026-09-18,8,21162,1020316386,6.81
00403A,2026-09-18,9,31362,2398591954,16.02
00403A,2026-09-18,10,11745,1702921368,11.37
00403A,2026-09-18,11,3753,1061575174,7.09
00403A,2026-09-18,12,892,444818585,2.97
00403A,2026-09-18,13,263,186060224,1.24
00403A,2026-09-18,14,202,192392000,1.28
00403A,2026-09-18,15,321,1460763802,9.76
00403A,2026-09-18,16,2,8000,0.0
00403A,2026-09-18,17,912433,14966519000,100.0
00404A,2026-09-18,1,1297,375672,0.08
00404A,2026-09-18,2,15005,39491516,8.81
00404A,2026-09-18,3,6093,54346449,12.13
00404A,2026-09-18,4,1658,22034034,4.92
00404A,2026-09-18,5,1991,38735038,8.65
00404A,2026-09-18,6,1517,41468265,9.26
00404A,2026-09-18,7,602,22362936,4.99
00404A,2026-09-18,8,774,37836485,8.44
00404A,2026-09-18,9,828,63665486,14.21
00404A,2026-09-18,10,271,40385876,9.01
00404A,2026-09-18,11,78,22474724,5.01
00404A,2026-09-18,12,27,13454000,3.0
00404A,2026-09-18,13,2,1390000,0.31
00404A,2026-09-18,14,4,4000000,0.89
00404A,2026-09-18,15,15,45774519,10.22
00404A,2026-09-18,16,0,0,0.0
00404A,2026-09-18,17,30162,447795000,100.0
00405A,2026-09-18,1,6257,1881686,0.06
00405A,2026-09-18,2,65790,173676891,5.63
00405A,2026-09-18,3,27685,239613036,7.76
00405A,2026-09-18,4,10134,134535838,4.36
00405A,2026-09-18,5,10559,202461715,6.56
