stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
00685L,2026-09-17,3097000,0,0,76267543,79364543
00631L,2026-09-17,12592886,0,0,53607243,66200129
2409,2026-09-17,53222717,0,-21000,2322410,55524127
00403A,2026-09-17,27078700,0,0,18923079,46001779
6770,2026-09-17,32652611,0,-13000,3410413,36050024
2303,2026-09-17,8951822,0,19883000,3569325,32404147
2834,2026-09-17,26930791,0,15000,440000,27385791
1314,2026-09-17,25034061,0,0,2277281,27311342
2609,2026-09-17,21855407,0,415000,896526,23166933
00940,2026-09-17,2662383,0,0,19819899,22482282
1303,2026-09-17,-4967411,0,23317000,722608,19072197
0050,2026-09-17,8036956,0,1500000,6600027,16136983
6505,2026-09-17,8158606,0,5451000,1159922,14769528
2371,2026-09-17,13811002,0,22000,479325,14312327
0056,2026-09-17,6992780,0,1250000,5296737,13539517
1718,2026-09-17,11689299,0,0,527273,12216572
2884,2026-09-17,3450313,0,8219000,526747,12196060
1101,2026-09-17,11739053,0,66000,290817,12095870
3231,2026-09-17,8826396,0,2001000,743936,11571332
2883,2026-09-17,12687715,0,-2270000,842935,11260650
2892,2026-09-17,4325130,0,6181000,411265,10917395
00878,2026-09-17,3003312,0,0,7181296,10184608
1301,2026-09-17,9109152,0,0,874762,9983914
00988A,2026-09-17,-2945000,0,0,12776122,9831122
2317,2026-09-17,8880253,0,109104,825876,9815233
2412,2026-09-17,10044192,0,-563000,28000,9509192
00680L,2026-09-17,982000,0,0,8294890,9276890
6257,2026-09-17,8544484,0,-6000,476380,9014864
1326,2026-09-17,7698517,0,0,951752,8650269
2353,2026-09-17,7032082,0,814000,276286,8122368
2382,2026-09-17,4789559,0,3040000,145000,7974559
2610,2026-09-17,5877570,0,1218000,441266,7536836
5880,2026-09-17,7180538,0,76000,257630,7514168
2605,2026-09-17,6569328,0,0,824162,7393490
2891,2026-09-17,3567129,0,3698000,-3710,7261419
00900,2026-09-17,2480000,0,0,4674657,7154657
2615,2026-09-17,4971217,0,0,2054885,7026102
2489,2026-09-17,5734962,0,0,1186619,6921581
2618,2026-09-17,3947844,0,2641000,227831,6816675
1312,2026-09-17,6040680,0,0,586176,6626856
3702,2026-09-17,4960366,0,781000,579784,6321150
2886,2026-09-17,1750413,0,3715000,471067,5936480
009824,2026-09-17,181000,0,0,5699626,5880626
2515,2026-09-17,5824344,0,-9000,30637,5845981
2330,2026-09-17,4794190,0,534410,509161,5837761
00404A,2026-09-17,2043000,0,0,3564520,5607520
9904,2026-09-17,2443288,0,3027000,-5861,5464427
1409,2026-09-17,5640949,0,0,-184580,5456369
