index_code,trade_date,open,high,low,close,volume
DJI,2026-09-15,52303.23828125,52336.609375,51875.6484375,52093.109375,374460000
NASDAQ,2026-09-15,26140.23046875,26172.119140625,25943.310546875,25981.5703125,7934200000
SOX,2026-09-15,11233.0400390625,11304.240234375,11128.8798828125,11175.5498046875,0
SPX,2026-09-15,7612.2998046875,7617.259765625,7572.68994140625,7585.72998046875,5154930000
TAIEX,2026-09-15,45847.26953125,46009.8515625,45491.96875,45511.48828125,0
TPEx,2026-09-15,394.5899963378906,398.0199890136719,388.7300109863281,388.7300109863281,0
