stock_code,trade_date,open,high,low,close,volume
1104,2026-09-15,26.850000381469727,26.850000381469727,26.600000381469727,26.649999618530273,409400
1103,2026-09-15,13.100000381469727,13.100000381469727,12.949999809265137,13.0,362379
1102,2026-09-15,34.95000076293945,35.20000076293945,34.79999923706055,35.20000076293945,5107550
1101,2026-09-15,24.0,24.049999237060547,23.799999237060547,23.799999237060547,20136021
1108,2026-09-15,11.0,11.100000381469727,11.0,11.050000190734863,122000
1109,2026-09-15,13.399999618530273,13.449999809265137,13.350000381469727,13.449999809265137,50000
1201,2026-09-15,12.0,12.050000190734863,11.949999809265137,12.050000190734863,351239
1110,2026-09-15,15.649999618530273,15.649999618530273,15.399999618530273,15.399999618530273,523000
1203,2026-09-15,42.099998474121094,42.75,42.099998474121094,42.650001525878906,20100
1210,2026-09-15,51.79999923706055,52.0,51.5,51.599998474121094,1292175
1213,2026-09-15,7.25,7.489999771118164,7.190000057220459,7.190000057220459,36000
1215,2026-09-15,107.5,108.0,105.5,105.5,814741
1216,2026-09-15,74.9000015258789,74.9000015258789,73.9000015258789,74.5,9978570
1218,2026-09-15,14.300000190734863,14.300000190734863,14.149999618530273,14.25,400794
1217,2026-09-15,9.960000038146973,9.979999542236328,9.930000305175781,9.970000267028809,337984
1219,2026-09-15,11.25,11.350000381469727,11.149999618530273,11.199999809265137,189184
1220,2026-09-15,10.800000190734863,10.800000190734863,10.699999809265137,10.75,41300
1229,2026-09-15,40.29999923706055,40.400001525878906,40.099998474121094,40.349998474121094,1345799
1225,2026-09-15,24.5,25.149999618530273,24.5,24.649999618530273,43924
1227,2026-09-15,28.299999237060547,28.350000381469727,28.100000381469727,28.149999618530273,464157
1231,2026-09-15,79.80000305175781,79.80000305175781,79.19999694824219,79.30000305175781,340493
1232,2026-09-15,154.0,155.0,153.5,154.5,79103
1234,2026-09-15,33.150001525878906,33.25,33.04999923706055,33.099998474121094,99050
1233,2026-09-15,28.0,28.0,27.850000381469727,27.850000381469727,16000
1235,2026-09-15,37.04999923706055,37.04999923706055,35.900001525878906,36.900001525878906,11001
1236,2026-09-15,25.799999237060547,26.100000381469727,25.399999618530273,25.549999237060547,60002
1256,2026-09-15,173.0,174.0,171.0,171.0,27005
1301,2026-09-15,62.099998474121094,62.5,61.20000076293945,62.0,17776671
1303,2026-09-15,230.0,230.5,221.0,221.5,54504666
1305,2026-09-15,11.949999809265137,11.949999809265137,11.699999809265137,11.699999809265137,988389
1304,2026-09-15,12.149999618530273,12.199999809265137,12.0,12.149999618530273,1664797
1307,2026-09-15,30.25,30.299999237060547,30.149999618530273,30.149999618530273,276033
1308,2026-09-15,14.050000190734863,14.100000381469727,13.850000381469727,13.899999618530273,1095499
1310,2026-09-15,8.680000305175781,8.680000305175781,8.449999809265137,8.449999809265137,1457500
1309,2026-09-15,13.649999618530273,13.699999809265137,13.449999809265137,13.649999618530273,1254498
1312,2026-09-15,14.449999809265137,14.699999809265137,14.300000190734863,14.350000381469727,9834713
1313,2026-09-15,11.699999809265137,11.949999809265137,11.649999618530273,11.800000190734863,1674200
1314,2026-09-15,8.229999542236328,8.239999771118164,8.079999923706055,8.109999656677246,12058212
1315,2026-09-15,65.5,65.80000305175781,65.4000015258789,65.80000305175781,14702
1316,2026-09-15,10.699999809265137,10.699999809265137,10.399999618530273,10.399999618530273,1742168
1319,2026-09-15,78.19999694824219,79.30000305175781,78.0999984741211,79.0,943522
1321,2026-09-15,31.899999618530273,32.29999923706055,31.899999618530273,32.150001525878906,36026
1323,2026-09-15,21.700000762939453,21.899999618530273,21.350000381469727,21.350000381469727,73313
1324,2026-09-15,10.050000190734863,10.100000381469727,9.989999771118164,10.0,52000
1325,2026-09-15,25.5,25.600000381469727,25.200000762939453,25.350000381469727,121000
1337,2026-09-15,4.480000019073486,4.480000019073486,4.389999866485596,4.389999866485596,252000
1326,2026-09-15,66.5999984741211,66.80000305175781,64.9000015258789,65.80000305175781,23597577
