index_code,trade_date,open,high,low,close,volume
DJI,2026-08-27,53613.66015625,53707.62109375,53345.62109375,53569.44140625,640810000
NASDAQ,2026-08-27,26356.98046875,26553.900390625,26273.869140625,26541.349609375,7448410000
SOX,2026-08-27,11870.16015625,11910.0302734375,11690.1904296875,11882.169921875,0
SPX,2026-08-27,7710.33984375,7741.27001953125,7689.89013671875,7730.990234375,4362240000
TAIEX,2026-08-28,46070.828125,46574.51953125,46070.828125,46367.51953125,0
TPEx,2026-08-28,401.3800048828125,406.239990234375,399.30999755859375,402.42999267578125,0
