index_code,trade_date,open,high,low,close,volume
DJI,2026-09-18,51826.78125,51826.78125,51497.46875,51682.640625,846980000
NASDAQ,2026-09-18,26522.08984375,26544.9296875,26333.98046875,26522.5390625,13286960000
SOX,2026-09-18,11691.0,11922.9501953125,11686.08984375,11921.6904296875,0
SPX,2026-09-18,7657.169921875,7657.169921875,7610.52001953125,7650.5,8858350000
TAIEX,2026-09-18,46449.55859375,47180.75,46449.55859375,47180.75,5651200
TPEx,2026-09-18,401.04998779296875,412.67999267578125,401.04998779296875,412.67999267578125,0
