stock_code,trade_date,open,high,low,close,volume
1102,2026-08-17,33.29999923706055,33.79999923706055,33.20000076293945,33.45000076293945,8430317
1101,2026-08-17,24.25,24.299999237060547,23.850000381469727,24.200000762939453,20439400
1103,2026-08-17,13.100000381469727,13.199999809265137,13.050000190734863,13.149999618530273,283553
1104,2026-08-17,26.5,26.799999237060547,26.5,26.75,492479
1108,2026-08-17,11.800000190734863,11.850000381469727,11.699999809265137,11.800000190734863,478808
1109,2026-08-17,13.600000381469727,13.649999618530273,13.5,13.649999618530273,389839
1110,2026-08-17,15.949999809265137,16.200000762939453,15.850000381469727,16.100000381469727,323040
1201,2026-08-17,12.199999809265137,12.300000190734863,12.199999809265137,12.25,182480
1210,2026-08-17,51.79999923706055,52.0,51.5,52.0,2102462
1215,2026-08-17,107.0,109.0,107.0,108.5,531299
1213,2026-08-17,7.179999828338623,7.449999809265137,7.179999828338623,7.380000114440918,10388
1216,2026-08-17,75.4000015258789,75.69999694824219,74.5999984741211,75.19999694824219,9451186
1217,2026-08-17,9.960000038146973,10.0,9.949999809265137,9.979999542236328,482902
1218,2026-08-17,14.75,14.75,14.300000190734863,14.550000190734863,2490907
1219,2026-08-17,11.050000190734863,11.199999809265137,11.050000190734863,11.199999809265137,312467
1220,2026-08-17,10.949999809265137,10.949999809265137,10.899999618530273,10.899999618530273,137730
1225,2026-08-17,24.600000381469727,24.75,24.5,24.75,32349
1227,2026-08-17,28.549999237060547,28.950000762939453,28.549999237060547,28.850000381469727,667847
1229,2026-08-17,40.650001525878906,41.150001525878906,40.599998474121094,41.150001525878906,1918601
1231,2026-08-17,80.19999694824219,81.0999984741211,80.0999984741211,80.5999984741211,368255
1232,2026-08-17,152.5,155.0,152.0,154.0,162385
1233,2026-08-17,27.899999618530273,27.950000762939453,27.600000381469727,27.899999618530273,12301
1234,2026-08-17,33.95000076293945,33.95000076293945,33.5,33.54999923706055,81874
1235,2026-08-17,37.0,37.04999923706055,36.900001525878906,36.900001525878906,10165
1236,2026-08-17,25.100000381469727,25.600000381469727,25.100000381469727,25.549999237060547,37499
1256,2026-08-17,181.0,182.0,179.0,179.0,87930
1301,2026-08-17,61.0,61.79999923706055,59.099998474121094,59.099998474121094,30702115
1303,2026-08-17,213.5,215.0,200.0,200.5,139517457
