stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
2834,2026-09-14,22685447,0,0,285000,22970447
2303,2026-09-14,13698740,0,3721000,130594,17550334
2481,2026-09-14,16628668,0,0,485644,17114312
2892,2026-09-14,11783281,0,3923000,183096,15889377
2887,2026-09-14,8494102,0,5449000,-103311,13839791
2412,2026-09-14,11848698,0,79000,-334184,11593514
00990A,2026-09-14,422300,0,0,9991813,10414113
00664R,2026-09-14,0,0,0,8630000,8630000
2891,2026-09-14,5212832,0,3099182,76932,8388946
2889,2026-09-14,8192020,0,0,108999,8301019
5880,2026-09-14,7776695,0,-154150,187498,7810043
2886,2026-09-14,3940636,0,3025000,-133089,6832547
00686R,2026-09-14,0,0,0,6691000,6691000
00405A,2026-09-14,-3959390,0,0,10644498,6685108
6770,2026-09-14,7338220,0,0,-880820,6457400
00940,2026-09-14,-306900,0,0,6641002,6334102
2897,2026-09-14,5949053,0,-243000,83016,5789069
2845,2026-09-14,1702907,0,3825000,10445,5538352
2881,2026-09-14,4519729,0,490000,461558,5471287
00988A,2026-09-14,904195,0,-268000,3681792,4317987
2353,2026-09-14,4348853,0,341000,-525139,4164714
2883,2026-09-14,1017954,0,2127000,938622,4083576
2449,2026-09-14,4106950,0,-77000,-123868,3906082
2885,2026-09-14,1904398,0,1838000,24189,3766587
2890,2026-09-14,-2211161,0,5347000,545230,3681069
00900,2026-09-14,291000,0,0,3255485,3546485
2327,2026-09-14,3710640,0,124002,-402097,3432545
00676R,2026-09-14,88000,0,0,3199818,3287818
2855,2026-09-14,1854587,0,1188300,0,3042887
5876,2026-09-14,3123390,0,-219000,110779,3015169
00688L,2026-09-14,740000,0,0,2201775,2941775
009805,2026-09-14,472200,0,0,2347390,2819590
1718,2026-09-14,2633591,0,0,-73027,2560564
1314,2026-09-14,2355097,0,0,130000,2485097
2880,2026-09-14,2490065,0,15000,-212815,2292250
5871,2026-09-14,2055108,0,103941,-19038,2140011
1714,2026-09-14,2296622,0,0,-224115,2072507
6226,2026-09-14,2114120,0,0,-70476,2043644
3034,2026-09-14,1861407,0,5000,103268,1969675
2312,2026-09-14,1687233,0,40000,201934,1929167
3045,2026-09-14,1956373,0,-112000,3011,1847384
6168,2026-09-14,1668552,0,0,93339,1761891
2812,2026-09-14,1624835,0,0,99000,1723835
00878,2026-09-14,-6801434,0,0,8440809,1639375
2363,2026-09-14,1448421,0,0,63216,1511637
3702,2026-09-14,1592696,0,26000,-108036,1510660
00706L,2026-09-14,0,0,0,1498028,1498028
00882,2026-09-14,80000,0,0,1383335,1463335
3042,2026-09-14,1872151,0,-175000,-234852,1462299
2377,2026-09-14,1601774,0,68000,-210095,1459679
2801,2026-09-14,-4173657,0,6073000,-449000,1450343
2820,2026-09-14,1259049,0,0,53000,1312049
2882,2026-09-14,191196,0,813000,305647,1309843
00665L,2026-09-14,970000,0,0,294461,1264461
3094,2026-09-14,1224093,0,0,-1551,1222542
2436,2026-09-14,1127032,0,0,79074,1206106
1504,2026-09-14,968771,0,140000,94924,1203695
2352,2026-09-14,-971507,0,2126000,13696,1168189
00915,2026-09-14,-245000,0,0,1407332,1162332
4904,2026-09-14,1106160,0,24000,-12253,1117907
9941,2026-09-14,638757,0,448000,16290,1103047
2317,2026-09-14,179403,0,796600,99172,1075175
00996A,2026-09-14,-185000,0,0,1251518,1066518
2379,2026-09-14,1062967,0,2000,-7997,1056970
3037,2026-09-14,950991,0,328000,-224440,1054551
3005,2026-09-14,1100819,0,5000,-73197,1032622
4919,2026-09-14,789415,0,0,238312,1027727
8150,2026-09-14,940985,0,0,55065,996050
00680L,2026-09-14,45000,0,0,943982,988982
00939,2026-09-14,-526000,0,0,1461139,935139
00637L,2026-09-14,-214000,0,0,1127588,913588
8422,2026-09-14,970173,0,9000,-83000,896173
2838,2026-09-14,961029,0,0,-80000,881029
3035,2026-09-14,751643,0,0,118554,870197
2302,2026-09-14,871664,0,0,-7323,864341
2347,2026-09-14,658522,0,162300,39833,860655
00714,2026-09-14,1320000,0,0,-462916,857084
2454,2026-09-14,734793,0,104084,11185,850062
8070,2026-09-14,860150,0,0,-12753,847397
2342,2026-09-14,835911,0,0,2143,838054
2615,2026-09-14,1088143,0,-110000,-160814,817329
6005,2026-09-14,803751,0,5000,0,808751
8046,2026-09-14,782253,0,-91000,109617,800870
1528,2026-09-14,801410,0,0,-7146,794264
2489,2026-09-14,324116,0,4900,453560,782576
2484,2026-09-14,759275,0,0,379,759654
00671R,2026-09-14,0,0,0,753500,753500
2455,2026-09-14,684992,0,-2000,68740,751732
2305,2026-09-14,582592,0,0,165237,747829
6196,2026-09-14,688635,0,7000,37230,732865
00946,2026-09-14,59300,0,0,663697,722997
3481,2026-09-14,-78895,0,2100,799726,722931
6239,2026-09-14,1359132,0,-945000,304866,718998
00693U,2026-09-14,12000,0,0,700548,712548
6213,2026-09-14,929114,0,13000,-258551,683563
4961,2026-09-14,587851,0,0,86430,674281
00927,2026-09-14,-1753475,0,0,2422712,669237
3605,2026-09-14,515586,0,0,142365,657951
1409,2026-09-14,921192,0,0,-278142,643050
2301,2026-09-14,1091011,0,69000,-517661,642350
1102,2026-09-14,958837,0,-89048,-232826,636963
1802,2026-09-14,694571,0,60000,-119814,634757
2441,2026-09-14,520104,0,10000,104422,634526
00642U,2026-09-14,118000,0,0,512747,630747
8261,2026-09-14,601403,0,0,16008,617411
00982D,2026-09-14,8000,0,0,597000,605000
5285,2026-09-14,593430,0,0,-2275,591155
009813,2026-09-14,-11000,0,0,598802,587802
8110,2026-09-14,590590,0,0,-13252,577338
2371,2026-09-14,676197,0,116000,-215007,577190
2382,2026-09-14,300468,0,247942,11324,559734
2332,2026-09-14,434999,0,0,120320,555319
6108,2026-09-14,540099,0,0,14000,554099
00715L,2026-09-14,312000,0,0,233050,545050
00408A,2026-09-14,0,0,0,544188,544188
3036,2026-09-14,532092,0,12533,-8821,535804
00994A,2026-09-14,-582000,0,0,1114642,532642
6446,2026-09-14,519089,0,2409,4066,525564
2836,2026-09-14,492000,0,0,19030,511030
00738U,2026-09-14,-1942,0,0,502191,500249
2357,2026-09-14,293483,0,202100,-19621,475962
3090,2026-09-14,469086,0,0,5101,474187
