stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
6770,2026-08-24,38095597,0,0,2008109,40103706
00632R,2026-08-24,412000,0,0,38037403,38449403
2324,2026-08-24,28426511,0,958000,87480,29471991
2609,2026-08-24,30651418,0,27000,-1473541,29204877
2303,2026-08-24,2257407,0,14763022,2080891,19101320
009821,2026-08-24,2630000,0,0,15792452,18422452
2426,2026-08-24,13702617,0,0,85393,13788010
6116,2026-08-24,11124292,0,0,424250,11548542
2615,2026-08-24,11518471,0,12000,-481769,11048702
2603,2026-08-24,9343268,0,12801,451307,9807376
2301,2026-08-24,8748267,0,111641,732885,9592793
2886,2026-08-24,12920029,0,-3622169,-42043,9255817
2610,2026-08-24,8379769,0,190000,585184,9154953
2892,2026-08-24,12784114,0,-4483055,5714,8306773
2337,2026-08-24,7830527,0,0,416097,8246624
8112,2026-08-24,7547962,0,0,211217,7759179
2353,2026-08-24,7345719,0,22000,194052,7561771
00940,2026-08-24,939000,0,0,6536294,7475294
2812,2026-08-24,7127280,0,-6000,0,7121280
2618,2026-08-24,6462699,0,-112000,205131,6555830
3045,2026-08-24,5735361,0,12741,-13000,5735102
1605,2026-08-24,4880699,0,0,582813,5463512
1216,2026-08-24,4808110,0,-98907,-33852,4675351
3706,2026-08-24,3241595,0,1197000,143032,4581627
00715L,2026-08-24,2612900,0,0,1612782,4225682
2312,2026-08-24,3669414,0,0,240315,3909729
3006,2026-08-24,3789454,0,0,93259,3882713
00878,2026-08-24,6146185,0,0,-2381369,3764816
00713,2026-08-24,262346,0,0,3389468,3651814
2515,2026-08-24,3522221,0,0,53000,3575221
2009,2026-08-24,3108016,0,0,7690,3115706
2449,2026-08-24,3722519,0,-683109,-28132,3011278
6226,2026-08-24,2919981,0,0,-9847,2910134
8150,2026-08-24,2799117,0,0,87524,2886641
00982A,2026-08-24,5939000,0,0,-3284593,2654407
8271,2026-08-24,2500331,0,0,18356,2518687
00885,2026-08-24,1971843,0,0,464234,2436077
8422,2026-08-24,2410921,0,0,-916,2410005
5871,2026-08-24,2386023,0,8000,-119066,2274957
00900,2026-08-24,741000,0,2500000,-973552,2267448
2351,2026-08-24,2090948,0,0,8245,2099193
00680L,2026-08-24,0,0,0,2097361,2097361
3532,2026-08-24,889737,0,1008000,156858,2054595
2377,2026-08-24,1954622,0,-53000,133705,2035327
3034,2026-08-24,1838050,0,-44000,231042,2025092
2027,2026-08-24,1865366,0,-3000,155250,2017616
2481,2026-08-24,1899915,0,0,7981,1907896
2606,2026-08-24,1986235,0,-71000,-69467,1845768
2392,2026-08-24,1364896,0,0,439158,1804054
2356,2026-08-24,1703310,0,-115000,211513,1799823
5880,2026-08-24,1710486,0,-12969,56839,1754356
2464,2026-08-24,1336938,0,180000,210743,1727681
00983A,2026-08-24,528000,0,0,1169527,1697527
3033,2026-08-24,2082000,0,0,-403200,1678800
1608,2026-08-24,1636202,0,0,22502,1658704
2030,2026-08-24,1500283,0,0,9000,1509283
3026,2026-08-24,-235946,0,1665000,25210,1454264
2340,2026-08-24,1315354,0,0,126081,1441435
3711,2026-08-24,563720,0,1011247,-143405,1431562
6213,2026-08-24,2202710,0,-840000,54203,1416913
00927,2026-08-24,600215,0,0,774442,1374657
2382,2026-08-24,1178657,0,107415,73618,1359690
4938,2026-08-24,1348101,0,-24000,7175,1331276
00882,2026-08-24,1046000,0,0,243067,1289067
00642U,2026-08-24,9405,0,0,1152963,1162368
9105,2026-08-24,1244000,0,0,-107030,1136970
00676R,2026-08-24,70000,0,0,1051944,1121944
2369,2026-08-24,1078698,0,0,3627,1082325
2646,2026-08-24,905689,0,0,4000,909689
00757,2026-08-24,288044,0,0,604596,892640
2465,2026-08-24,850874,0,0,-4000,846874
2504,2026-08-24,801145,0,0,10000,811145
2617,2026-08-24,839504,0,0,-42131,797373
00980A,2026-08-24,-804000,0,543000,1056233,795233
3094,2026-08-24,774356,0,0,2972,777328
00999A,2026-08-24,-152000,0,0,887611,735611
2399,2026-08-24,638807,0,0,77872,716679
00686R,2026-08-24,0,0,0,703000,703000
2101,2026-08-24,687589,0,0,-3807,683782
1434,2026-08-24,692999,0,0,-18056,674943
00898,2026-08-24,141000,0,0,518454,659454
2897,2026-08-24,642185,0,0,0,642185
3653,2026-08-24,556610,0,81252,3563,641425
2903,2026-08-24,641074,0,0,0,641074
6214,2026-08-24,641653,0,0,-17390,624263
4904,2026-08-24,1222794,0,-613326,5695,615163
2362,2026-08-24,579670,0,0,-553,579117
2329,2026-08-24,455576,0,0,106861,562437
2034,2026-08-24,547787,0,0,-6283,541504
3022,2026-08-24,529501,0,0,2087,531588
3376,2026-08-24,368470,0,0,148481,516951
2455,2026-08-24,107200,0,-5000,401457,503657
9921,2026-08-24,607467,0,0,-108140,499327
00946,2026-08-24,481000,0,0,3878,484878
6239,2026-08-24,255533,0,-12000,227473,471006
2612,2026-08-24,474204,0,0,-6923,467281
3029,2026-08-24,423105,0,0,39110,462215
2633,2026-08-24,345906,0,115000,0,460906
5607,2026-08-24,426302,0,0,34000,460302
3017,2026-08-24,384959,0,46836,28409,460204
3702,2026-08-24,-1033848,0,1280000,209870,456022
00929,2026-08-24,930983,0,0,-490403,440580
00935,2026-08-24,-331850,0,331000,438821,437971
8070,2026-08-24,443050,0,0,-6208,436842
2354,2026-08-24,402673,0,-1000,34825,436498
