index_code,trade_date,open,high,low,close,volume
DJI,2026-08-24,53261.94921875,53508.1796875,53261.94921875,53417.19921875,416038344
NASDAQ,2026-08-24,26065.3203125,26109.9609375,25910.81640625,25980.19140625,6449341000
SOX,2026-08-24,11513.875,11513.875,11263.33984375,11423.1689453125,0
SPX,2026-08-24,7663.3798828125,7670.2998046875,7638.169921875,7652.85986328125,2488280000
TAIEX,2026-08-24,45240.30078125,45362.30078125,44761.87890625,44762.3203125,0
TPEx,2026-08-25,384.8699951171875,384.8699951171875,377.510009765625,378.69000244140625,0
