index_code,trade_date,open,high,low,close,volume
DJI,2026-08-19,53463.46875,53710.05859375,53399.53125,53463.05078125,451465247
NASDAQ,2026-08-19,26393.888671875,26456.775390625,26185.12890625,26331.08984375,7051514000
SOX,2026-08-19,12063.8505859375,12138.5087890625,11633.796875,11738.2255859375,0
SPX,2026-08-19,7716.740234375,7743.93017578125,7700.06982421875,7707.97998046875,2981221000
TAIEX,2026-08-19,45071.33984375,45071.33984375,44308.7109375,44719.3515625,0
TPEx,2026-08-19,387.57000732421875,389.7799987792969,379.92999267578125,384.7900085449219,0
